filename	state	group	fac1	fac2	fac3	fac4
t000001	ac	ac	44	10	5	2
t000002	ac	ac	14	0	1	10
t000003	ac	ac	36	11	3	3
t000004	ac	ac	26	3	6	4
t000005	ac	ac	44	10	9	5
t000006	ac	ac	26	2	18	3
t000007	ac	ac	24	6	2	5
t000008	ac	ac	17	5	2	5
t000009	ac	ac	27	5	1	5
t000010	ac	ac	25	15	5	3
t000011	ac	ac	14	6	5	5
t000012	ac	ac	10	1	0	0
t000013	ac	ac	9	-1	1	1
t000014	ac	ac	35	2	15	5
t000015	ac	ac	40	10	6	4
t000016	ac	ac	28	10	4	5
t000017	ac	ac	18	1	4	4
t000018	ac	ac	11	0	1	2
t000019	ac	ac	19	1	2	1
t000020	ac	ac	30	5	4	0
t000021	ac	ac	22	4	3	1
t000022	ac	ac	28	0	3	1
t000023	ac	ac	7	-1	0	5
t000024	ac	ac	9	0	4	0
t000025	ac	ac	17	2	4	1
t000026	ac	ac	30	3	4	1
t000027	ac	ac	15	4	2	3
t000028	ac	ac	22	0	3	0
t000029	ac	ac	15	0	3	4
t000030	ac	ac	9	1	5	0
t000031	ac	ac	54	6	8	4
t000032	ac	ac	33	14	4	2
t000033	ac	ac	22	1	5	3
t000034	ac	ac	12	0	1	2
t000035	ac	ac	21	2	3	1
t000036	ac	ac	30	5	4	0
t000037	ac	ac	25	15	9	1
t000038	ac	ac	16	1	1	0
t000039	ac	ac	13	4	4	1
t000040	ac	ac	7	1	3	-2
t000041	ac	ac	49	2	15	-6
t000042	ac	ac	10	3	1	1
t000043	ac	ac	35	-2	5	0
t000044	ac	ac	9	1	1	5
t000045	ac	ac	25	-3	11	-1
t000046	ac	ac	43	4	8	0
t000047	ac	ac	22	21	3	1
t000048	ac	ac	23	22	2	1
t000049	ac	ac	5	13	1	0
t000050	ac	ac	19	33	7	5
t000051	ac	ac	17	5	4	2
t000052	ac	ac	17	9	10	3
t000053	ac	ac	44	17	9	0
t000054	ac	ac	37	12	13	2
t000055	ac	ac	10	7	2	3
t000056	ac	ac	20	12	0	0
t000057	ac	ac	11	14	2	3
t000058	ac	ac	9	22	3	3
t000059	ac	ac	17	9	1	5
t000060	ac	ac	13	10	0	6
t000061	ac	ac	14	16	4	5
t000062	ac	ac	22	23	1	4
t000063	ac	ac	33	8	6	1
t000064	ac	ac	56	14	8	-4
t000065	ac	ac	22	10	4	0
t000066	ac	ac	21	17	3	0
t000067	ac	ac	16	20	3	0
t000068	ac	ac	42	8	3	2
t000069	ac	ac	11	13	2	0
t000070	ac	ac	17	5	0	2
t000071	ac	ac	25	13	4	1
t000072	ac	ac	47	28	15	0
t000073	ac	ac	27	15	4	-1
t000074	ac	ac	20	11	5	0
t000075	ac	ac	11	9	0	1
t000076	ac	ac	10	5	0	1
t000077	ac	ac	9	10	0	2
t000078	ac	ac	12	21	1	2
t000079	ac	ac	7	15	2	4
t000080	ac	ac	10	24	4	1
t000081	ac	ac	22	26	4	0
t000082	ac	ac	11	24	10	-1
t000083	ac	ac	19	25	4	1
t000084	ac	ac	4	25	4	0
t000085	ac	ac	15	13	4	0
t000086	ac	ac	14	18	3	4
t000087	ac	ac	24	28	10	-4
t000088	ac	ac	50	4	0	2
t000089	ac	ac	13	0	1	0
t000090	ac	ac	16	1	2	0
t000091	ac	ac	19	3	1	1
t000092	ac	ac	20	7	2	1
t000093	ac	ac	33	1	2	2
t000094	ac	ac	36	5	3	1
t000095	ac	ac	20	1	2	0
t000096	ac	ac	36	6	3	0
t000097	ac	ac	43	7	3	7
t000098	ac	ac	15	3	4	1
t000099	ac	ac	19	3	0	4
t000100	ac	ac	22	2	0	0
t000101	ac	ac	29	4	6	5
t000102	ac	ac	3	8	8	3
t000103	ac	ac	25	10	8	3
t000104	ac	ac	4	3	20	0
t000105	ac	ac	15	4	29	-2
t000106	ac	ac	10	7	10	3
t000107	ac	ac	5	3	7	0
t000108	ac	ac	10	7	9	0
t000109	ac	ac	13	5	20	1
t000110	ac	ac	12	9	18	-1
t000111	ac	ac	13	2	24	-2
t000112	ac	ac	8	4	18	1
t000113	ac	ac	5	2	45	4
t000114	ac	ac	0	-1	52	1
t000115	ac	ac	3	-3	40	2
t000116	ac	ac	11	-10	49	-1
t000117	ac	ac	0	-2	44	1
t000118	ac	ac	11	-1	47	3
t000119	ac	ac	2	0	53	1
t000120	ac	ac	6	-2	48	1
t000121	ac	ac	13	-7	53	0
t000122	ac	ac	9	-2	50	0
t000123	ac	ac	12	0	40	2
t000124	ac	ac	2	1	55	1
t000125	ac	ac	6	0	35	3
t000126	ac	ac	21	-4	48	1
t000127	ac	ac	10	-2	50	0
t000128	ac	ac	33	18	10	6
t000129	ac	ac	13	6	7	0
t000130	ac	ac	1	0	17	0
t000131	ac	ac	23	4	14	0
t000132	ac	ac	10	3	2	0
t000133	ac	ac	8	5	0	0
t000134	ac	ac	15	0	4	0
t000135	ac	ac	9	0	3	-1
t000136	ac	ac	6	15	4	3
t000137	ac	ac	9	20	7	5
t000138	ac	ac	17	5	4	9
t000139	ac	ac	8	3	1	4
t000140	al	al	12	5	4	2
t000141	al	al	5	0	3	30
t000142	al	al	27	27	8	1
t000143	al	al	18	1	4	1
t000144	al	al	35	13	21	2
t000145	al	al	4	12	8	3
t000146	al	al	25	8	9	15
t000147	al	al	25	6	4	1
t000148	al	al	14	5	5	3
t000149	al	al	29	1	5	3
t000150	al	al	16	1	0	1
t000151	al	al	22	9	0	2
t000152	al	al	25	-1	5	-1
t000153	al	al	22	1	1	0
t000154	al	al	12	0	-1	0
t000155	al	al	19	2	5	4
t000156	al	al	12	-1	4	1
t000157	al	al	15	1	0	1
t000158	al	al	14	2	3	1
t000159	al	al	21	-5	6	1
t000160	al	al	38	-10	5	2
t000161	al	al	10	-3	2	0
t000162	al	al	22	-6	0	-1
t000163	al	al	9	1	-1	0
t000164	al	al	11	-1	7	0
t000165	al	al	19	-2	5	0
t000166	al	al	28	-2	4	1
t000167	al	al	7	-1	12	0
t000168	al	al	18	1	5	0
t000169	al	al	9	0	1	1
t000170	al	al	10	4	8	1
t000171	al	al	6	6	1	2
t000172	al	al	21	3	4	2
t000173	al	al	9	4	6	3
t000174	al	al	15	-1	4	3
t000175	al	al	16	3	7	2
t000176	al	al	13	2	2	0
t000177	al	al	8	2	4	-1
t000178	al	al	19	0	4	1
t000179	al	al	8	4	0	-1
t000180	al	al	22	0	5	2
t000181	al	al	10	0	1	1
t000182	al	al	8	3	0	0
t000183	al	al	18	-1	0	0
t000184	al	al	10	-3	4	22
t000185	al	al	12	4	0	1
t000186	al	al	16	2	7	3
t000187	al	al	19	2	6	2
t000188	al	al	13	2	8	5
t000189	al	al	3	-2	3	1
t000190	al	al	12	0	3	3
t000191	al	al	12	1	2	1
t000192	al	al	8	-1	7	3
t000193	al	al	11	4	2	1
t000194	al	al	36	7	7	7
t000195	al	al	42	8	12	3
t000196	al	al	7	0	-1	1
t000197	al	al	36	8	8	1
t000198	al	al	19	0	4	0
t000199	al	al	17	2	2	-1
t000200	al	al	18	4	6	2
t000201	al	al	21	2	1	1
t000202	al	al	40	-1	7	-4
t000203	al	al	14	1	1	6
t000204	al	al	21	0	3	-3
t000205	al	al	10	1	1	1
t000206	al	al	21	1	0	-1
t000207	al	al	10	1	1	-1
t000208	al	al	12	9	2	1
t000209	al	al	3	8	2	1
t000210	al	al	31	3	1	4
t000211	al	al	23	4	4	1
t000212	al	al	12	1	0	4
t000213	al	al	31	3	2	5
t000214	al	al	14	2	2	5
t000215	al	al	16	1	0	0
t000216	al	al	21	4	0	5
t000217	al	al	16	2	4	1
t000218	al	al	17	5	2	1
t000219	al	al	18	6	3	-1
t000220	al	al	12	4	1	0
