Ao	ADP_DET.Masc.Sing	a_o
longo	NOUN	longo
da	ADP_DET.Fem.Sing	de_o
história	NOUN.Fem.Sing	história
da	ADP_DET.Fem.Sing	de_o
educação	NOUN.Fem.Sing	educação
brasileira	ADJ.Fem.Sing	brasileiro
,	PUNCT.Comma	,
o	DET.Masc.Sing	o
Ensino	NOUN.Masc.Sing	ensino
Fundamental	ADJ.Fem.Sing	fundamental
passou	VERB.Fin.Sing	passar
por	ADP	por
transformações	NOUN.Fem.Plur	transformação
em	ADP	em
sua	DET.Fem.Sing	seu
estrutura	NOUN.Fem.Sing	estrutura
e	CCONJ	e
organização	NOUN.Fem.Sing	organização
.	PUNCT.Sent	.
