Um	DET.Masc.Sing	um
conceito-chave	NOUN.Masc.Sing	<unknown>
na	ADP_DET.Fem.Sing	em_o
pedagogia	NOUN.Fem.Sing	pedagogia
dos	ADP_DET.Masc.Plur	de_o
multiletramentos	NOUN.Masc.Plur	multiletramento
é	AUX.Fin.Sing	ser
o	PRON.Masc.Sing	o
de	ADP	de
designer	NOUN.Masc.Sing	designer
:	PUNCT.Colon	:
Somos	AUX.Fin.Plur	ser
herdeiros	NOUN.Masc.Plur	herdeiro
de	ADP	de
padrões	NOUN.Masc.Plur	padrão
e	CCONJ	e
de	ADP	de
significados	NOUN.Masc.Plur	significado
já	ADV	já
convencionados	ADJ.Masc.Plur	convencionado
,	PUNCT.Comma	,
e	CCONJ	e
ao	ADP_DET.Masc.Sing	a_o
mesmo	ADJ.Masc.Sing	mesmo
tempo	NOUN.Masc.Sing	tempo
somos	AUX.Fin.Plur	ser
designers	NOUN.Masc.Plur	designer
ativos	ADJ.Masc.Plur	ativo
de	ADP	de
significados	NOUN.Masc.Plur	significado
.	PUNCT.Sent	.
E	CCONJ	e
como	ADP	como
designers	NOUN.Masc.Plur	designer
de	ADP	de
significados	NOUN.Masc.Plur	significado
,	PUNCT.Comma	,
somos	AUX.Fin.Plur	ser
designers	NOUN.Masc.Plur	designer
de	ADP	de
futuros	NOUN.Masc.Plur	futuro
sociais	ADJ.Masc.Plur	social
–	PUNCT.Hyphen	-
de	ADP	de
locais	NOUN.Masc.Plur	local
de	ADP	de
trabalho	NOUN.Masc.Sing	trabalho
,	PUNCT.Comma	,
de	ADP	de
cidadania	NOUN.Fem.Sing	cidadania
e	CCONJ	e
da	ADP_DET.Fem.Sing	de_o
comunidade	NOUN.Fem.Sing	comunidade
(	PUNCT.Par.Left	(
NEW	PROPN.Masc.Sing	New
LODON	PROPN.Sing	<unknown>
GROUP	PROPN.Sing	Group
,	PUNCT.Comma	,
1996	NUM	1996
,	PUNCT.Comma	,
p.4	NOUN.Masc.Sing	p@card@
)	PUNCT.Par.Right	)
.	PUNCT.Sent	.
