A	DET.Fem.Sing	o
nova	ADJ.Fem.Sing	novo
versão	NOUN.Fem.Sing	versão
foi	AUX.Fin.Sing	ser
novamente	ADV	novamente
apresentada	VERB.Part.Fem.Sing	apresentar
e	CCONJ	e
referendada	VERB.Part.Fem.Sing	referendar
pela	ADP_DET.Fem.Sing	por_o
Comissão	PROPN.Fem.Sing	Comissão
do	ADP_DET.Masc.Sing	de_o
Conselho	PROPN.Masc.Sing	Conselho
Estadual	PROPN.Sing	Estadual
e	CCONJ	e
aprovada	VERB.Part.Fem.Sing	aprovar
pelo	ADP_DET.Masc.Sing	por_o
Conselho	NOUN.Masc.Sing	conselho
pleno	ADJ.Masc.Sing	pleno
em	ADP	em
19	NUM	19
de	ADP	de
junho	NOUN.Masc.Sing	junho
de	ADP	de
2019	NUM	@card@
.	PUNCT.Sent	.
