Reitere	VERB.Fin.Sing	reiterar
-se	PRON	se
que	SCONJ	que
o	DET.Masc.Sing	o
fortalecimento	NOUN.Masc.Sing	fortalecimento
do	ADP_DET.Masc.Sing	de_o
regime	NOUN.Masc.Sing	regime
de	ADP	de
colaboração	NOUN.Fem.Sing	colaboração
entre	ADP	entre
Estado	PROPN.Sing	Estado
e	CCONJ	e
Municípios	PROPN.Sing	Municípios
—	PUNCT.Hyphen	-
já	ADV	já
praticado	VERB.Part.Masc.Sing	praticar
na	ADP_DET.Fem.Sing	em_o
implementação	NOUN.Fem.Sing	implementação
de	ADP	de
inúmeras	ADJ.Fem.Plur	inúmero
ações	NOUN.Fem.Plur	ação
e	CCONJ	e
pro¬gramas	NOUN.Masc.Plur	pro¬grama
educacionais	ADJ.Masc.Plur	educacional
e	CCONJ	e
no	ADP_DET.Masc.Sing	em_o
processo	NOUN.Masc.Sing	processo
de	ADP	de
elaboração	NOUN.Fem.Sing	elaboração
do	ADP_DET.Masc.Sing	de_o
Currículo	NOUN.Masc.Sing	currículo
Paulista	PROPN.Fem.Sing	Pailista
—	PUNCT.Hyphen	-
é	AUX.Fin.Sing	ser
fundamental	ADJ.Masc.Sing	fundamental
para	ADP	para
garantir	VERB.Inf	garantir
o	DET.Masc.Sing	o
ingresso	NOUN.Masc.Sing	ingresso
e	CCONJ	e
a	DET.Fem.Sing	o
permanência	NOUN.Fem.Sing	permanência
bem	ADV	bem
sucedida	VERB.Part.Fem.Sing	suceder
na	ADP_DET.Fem.Sing	em_o
Edu¬cação	NOUN.Fem.Sing	Edu¬cação
Básica	ADJ.Fem.Sing	básico
,	PUNCT.Comma	,
bem	ADV	bem
como	ADV	como
para	ADP	para
cumprir	VERB.Inf	cumprir
o	DET.Masc.Sing	o
compromisso	NOUN.Masc.Sing	compromisso
de	ADP	de
assegurar	VERB.Inf	assegurar
equidade	NOUN.Fem.Sing	equidade
na	ADP_DET.Fem.Sing	em_o
educação	NOUN.Fem.Sing	educação
.	PUNCT.Sent	.
