Entendemos	VERB.Fin.Plur	entender
que	SCONJ	que
a	DET.Fem.Sing	o
criança	NOUN.Fem.Sing	criança
nos	ADP_DET.Masc.Plur	em_o
anos	NOUN.Masc.Plur	ano
iniciais	ADJ.Masc.Plur	inicial
do	ADP_DET.Masc.Sing	de_o
Ensino	NOUN.Masc.Sing	ensino
Fundamental	ADJ.Fem.Sing	fundamental
está	AUX.Fin.Sing	estar
em	ADP	em
pro¬cesso	NOUN.Masc.Sing	<unknown>
de	ADP	de
alfabetização	NOUN.Fem.Sing	alfabetização
e	CCONJ	e
que	SCONJ	que
as	DET.Fem.Plur	o
atividades	NOUN.Fem.Plur	atividade
de	ADP	de
registro	NOUN.Masc.Sing	registro
podem	AUX.Fin.Plur	poder
ser	AUX.Inf	ser
realizadas	VERB.Part.Fem.Plur	realizar
não	ADV	não
apenas	ADV	apenas
pela	ADP_DET.Fem.Sing	por_o
escrita	NOUN.Fem.Sing	escrita
,	PUNCT.Comma	,
ou	CCONJ	ou
com	ADP	com
o	DET.Masc.Sing	o
auxílio	NOUN.Masc.Sing	auxílio
de	ADP	de
professores	NOUN.Masc.Plur	professor
e	CCONJ	e
da	ADP_DET.Fem.Sing	de_o
família	NOUN.Fem.Sing	família
.	PUNCT.Sent	.
