Dessa	ADP_DET.Fem.Sing	de_esse
forma	NOUN.Fem.Sing	forma
,	PUNCT.Comma	,
conforme	ADV	conforme
aponta	VERB.Fin.Sing	apontar
a	DET.Fem.Sing	o
Declaração	NOUN.Fem.Sing	declaração
de	ADP	de
Salamanca	PROPN.Fem.Sing	<unknown>
(	PUNCT.Par.Left	(
1997	NUM	1997
)	PUNCT.Par.Right	)
,	PUNCT.Comma	,
é	AUX.Fin.Sing	ser
fundamental	ADJ.Masc.Sing	fundamental
que	SCONJ	que
a	DET.Fem.Sing	o
escola	NOUN.Fem.Sing	escola
se	PRON.Fem.Sing	se
firme	VERB.Fin.Sing	firmar
como	ADP	como
espaço	NOUN.Masc.Sing	espaço
privilegiado	VERB.Part.Masc.Sing	privilegiar
das	ADP_DET.Fem.Plur	de_o
relações	NOUN.Fem.Plur	relação
sociais	ADJ.Fem.Plur	social
para	ADP	para
todos	PRON.Masc.Plur	todo
,	PUNCT.Comma	,
acolhendo	VERB.Ger	acolher
crianças	NOUN.Fem.Plur	criança
com	ADP	com
deficiências	NOUN.Fem.Plur	deficiência
e	CCONJ	e
crianças	NOUN.Fem.Plur	criança
bem-dotadas	ADJ.Fem.Plur	bem-dotado
,	PUNCT.Comma	,
crianças	NOUN.Fem.Plur	criança
que	PRON.Rel.Fem.Plur	que
vivem	VERB.Fin.Plur	viver
nas	ADP_DET.Fem.Plur	em_o
ruas	NOUN.Fem.Plur	rua
e	CCONJ	e
que	PRON.Rel.Masc.Plur	que
trabalham	VERB.Fin.Plur	trabalhar
,	PUNCT.Comma	,
crianças	NOUN.Fem.Plur	criança
de	ADP	de
populações	NOUN.Fem.Plur	população
distantes	ADJ.Fem.Plur	distante
ou	CCONJ	ou
nômades	ADJ.Fem.Plur	nômade
,	PUNCT.Comma	,
crianças	NOUN.Fem.Plur	criança
de	ADP	de
minorias	NOUN.Fem.Plur	minoria
linguísticas	ADJ.Fem.Plur	linguístico
,	PUNCT.Comma	,
étnicas	ADJ.Fem.Plur	étnico
ou	CCONJ	ou
culturais	ADJ.Fem.Plur	cultural
e	CCONJ	e
crianças	NOUN.Fem.Plur	criança
de	ADP	de
outros	DET.Masc.Plur	outro
grupos	NOUN.Masc.Plur	grupo
ou	CCONJ	ou
zonas	NOUN.Fem.Plur	zona
desfavorecidos	ADJ.Masc.Plur	desfavorecido
ou	CCONJ	ou
marginalizados	NOUN.Masc.Plur	marginalizado
.	PUNCT.Sent	.
