Mencionamos	VERB.Fin.Plur	mencionar
a	DET.Fem.Sing	o
primeira	ADJ.Fem.Sing	primeiro
relação	NOUN.Fem.Sing	relação
ao	ADP_DET.Masc.Sing	a_o
dizer	VERB.Inf	dizer
que	SCONJ	que
a	DET.Fem.Sing	o
criança	NOUN.Fem.Sing	criança
está	AUX.Fin.Sing	estar
relacionando	VERB.Ger	relacionar
com	ADP	com
as	DET.Fem.Plur	o
letras	NOUN.Fem.Plur	letra
não	ADV	não
propriamente	ADV	propriamente
os	DET.Masc.Plur	o
fonemas	NOUN.Masc.Plur	fonema
(	PUNCT.Par.Left	(
entidades	NOUN.Fem.Plur	entidade
abstratas	ADJ.Fem.Plur	abstrato
da	ADP_DET.Fem.Sing	de_o
língua	NOUN.Fem.Sing	língua
)	PUNCT.Par.Right	)
,	PUNCT.Comma	,
mas	CCONJ	mas
fones	NOUN.Masc.Plur	fone
e	CCONJ	e
alofones	NOUN.Masc.Plur	alofone
de	ADP	de
sua	DET.Fem.Sing	seu
variedade	NOUN.Fem.Sing	variedade
linguística	ADJ.Fem.Sing	linguístico
(	PUNCT.Par.Left	(
entidades	NOUN.Fem.Plur	entidade
concretas	ADJ.Fem.Plur	concreto
da	ADP_DET.Fem.Sing	de_o
fala	NOUN.Fem.Sing	fala
)	PUNCT.Par.Right	)
.	PUNCT.Sent	.
