Considerando	VERB.Ger	considerar
os	DET.Masc.Plur	o
marcos	NOUN.Masc.Plur	marco
normativos	ADJ.Masc.Plur	normativo
e	CCONJ	e
,	PUNCT.Comma	,
em	ADP	em
conformidade	NOUN.Fem.Sing	conformidade
com	ADP	com
as	DET.Fem.Plur	o
competências	NOUN.Fem.Plur	competência
gerais	ADJ.Fem.Plur	geral
estabelecidas	VERB.Part.Fem.Plur	estabelecer
no	ADP_DET.Masc.Sing	em_o
âmbito	NOUN.Masc.Sing	âmbito
da	ADP_DET.Fem.Sing	de_o
Base	NOUN	base
Nacional	ADJ	nacional
Comum	PROPN.Sing	Comum
Curricular	ADJ.Fem.Sing	curricular
–	PUNCT.Hyphen	-
BNCC	PROPN.Masc.Sing	<unknown>
,	PUNCT.Comma	,
o	DET.Masc.Sing	o
Ensino	NOUN.Masc.Sing	ensino
Religioso	ADJ.Masc.Sing	religioso
no	ADP_DET.Masc.Sing	em_o
Currículo	NOUN.Masc.Sing	currículo
Referência	NOUN.Fem.Sing	referência
de	ADP	de
Minas	PROPN.Masc.Sing	Minas
Gerais	PROPN.Sing	Gerais
–	PUNCT.Hyphen	-
CRMG	PROPN.Masc.Sing	<unknown>
deve	AUX.Fin.Sing	dever
atender	VERB.Inf	atender
aos	ADP_DET.Masc.Plur	a_o
seguintes	ADJ.Masc.Plur	seguinte
objetivos	NOUN.Masc.Plur	objetivo
:	PUNCT.Colon	:
