Nessa	ADP_DET.Fem.Sing	em_esse
perspectiva	NOUN.Fem.Sing	perspectiva
de	ADP	de
garantia	NOUN.Fem.Sing	garantia
do	ADP_DET.Masc.Sing	de_o
direito	NOUN	direito
ao	ADP_PRON.Masc.Sing	a_o
ensino-aprendizagem	VERB.Fin.Plur	<unknown>
,	PUNCT.Comma	,
o	DET.Masc.Sing	o
Currículo	NOUN.Masc.Sing	currículo
Referência	NOUN.Fem.Sing	referência
de	ADP	de
Minas	PROPN.Masc.Sing	Minas
Gerais	PROPN.Sing	Gerais
torna	VERB.Fin.Sing	tornar
efetiva	ADJ.Fem.Sing	efetivo
a	DET.Fem.Sing	o
previsão	NOUN.Fem.Sing	previsão
constitucional	ADJ.Fem.Sing	constitucional
através	ADV	através
do	ADP_DET.Masc.Sing	de_o
inciso	NOUN.Masc.Sing	inciso
II	ADJ.Masc.Sing	ii
do	ADP_DET.Masc.Sing	de_o
artigo	NOUN.Masc.Sing	artigo
206	NUM	@card@
,	PUNCT.Comma	,
a	ADP	a
saber	VERB.Inf	saber
:	PUNCT.Colon	:
liberdade	NOUN.Fem.Sing	liberdade
de	ADP	de
aprender	VERB.Inf	aprender
,	PUNCT.Comma	,
ensinar	VERB.Inf	ensinar
,	PUNCT.Comma	,
pesquisar	VERB.Inf	pesquisar
e	CCONJ	e
divulgar	VERB.Inf	divulgar
o	DET.Masc.Sing	o
pensamento	NOUN.Masc.Sing	pensamento
,	PUNCT.Comma	,
a	DET.Fem.Sing	o
arte	NOUN.Fem.Sing	arte
e	CCONJ	e
o	DET.Masc.Sing	o
saber	NOUN.Masc.Sing	saber
;	PUNCT.Semicolon	;
(	PUNCT.Par.Left	(
BRASIL	PROPN.Masc.Sing	Brasil
,	PUNCT.Comma	,
1988	NUM	1988
)	PUNCT.Par.Right	)
.	PUNCT.Sent	.
