A	DET.Fem.Sing	o
BNCC	PROPN.Fem.Sing	<unknown>
apresenta	VERB.Fin.Sing	apresentar
dez	NUM	dez
competências	NOUN.Fem.Plur	competência
a	ADP	a
serem	AUX.Inf.Plur	ser
desenvolvidas	VERB.Part.Fem.Plur	desenvolver
,	PUNCT.Comma	,
principalmente	ADV	principalmente
pelas	ADP_DET.Fem.Plur	por_o
aprendizagens	NOUN.Fem.Plur	aprendizagem
constituídas	VERB.Part.Fem.Plur	constituir
nos	ADP_DET.Masc.Plur	em_o
tempos	NOUN.Masc.Plur	tempo
e	CCONJ	e
espaços	NOUN.Masc.Plur	espaço
das	ADP_DET.Fem.Plur	de_o
aulas	NOUN.Fem.Plur	aula
de	ADP	de
Educação	NOUN	educação
Física	PROPN.Fem.Sing	Física
.	PUNCT.Sent	.
Sendo	AUX.Ger	ser
assim	ADV	assim
,	PUNCT.Comma	,
realizamos	VERB.Fin.Plur	realizar
nelas	ADP_PRON.Fem.Plur	em_ele
pequenas	ADJ.Fem.Plur	pequeno
intervenções	NOUN.Fem.Plur	intervenção
,	PUNCT.Comma	,
buscando	VERB.Ger	buscar
ressaltar	VERB.Inf	ressaltar
alguns	DET.Masc.Plur	algum
princípios	NOUN.Masc.Plur	princípio
norteadores	ADJ.Masc.Plur	norteador
e	CCONJ	e
fundamentados	VERB.Part.Masc.Plur	fundamentar
em	ADP	em
intenções	NOUN.Fem.Plur	intenção
formativas	ADJ.Fem.Plur	formativo
:	PUNCT.Colon	:
