Dando	VERB.Ger	dar
continuidade	NOUN.Fem.Sing	continuidade
ao	ADP_DET.Masc.Sing	a_o
previsto	VERB.Part.Masc.Sing	prever
no	ADP_DET.Masc.Sing	em_o
cronograma	NOUN.Masc.Sing	cronograma
,	PUNCT.Comma	,
ocorreram	VERB.Fin.Plur	ocorrer
quatro	NUM	quatro
audiências	NOUN.Fem.Plur	audiência
públicas	ADJ.Fem.Plur	público
,	PUNCT.Comma	,
por	ADP	por
polos	NOUN.Masc.Plur	polo
,	PUNCT.Comma	,
nos	ADP_DET.Masc.Plur	em_o
seguintes	ADJ.Masc.Plur	seguinte
municípios	NOUN.Masc.Plur	município
:	PUNCT.Colon	:
Niterói	PROPN.Masc.Sing	Niterói
(	PUNCT.Par.Left	(
21/05	NUM	@card@
)	PUNCT.Par.Right	)
;	PUNCT.Semicolon	;
Volta	PROPN.Fem.Sing	Volta
Redonda	PROPN.Sing	Redonda
(	PUNCT.Par.Left	(
23/05	NUM	@card@
)	PUNCT.Par.Right	)
;	PUNCT.Semicolon	;
Macaé	PROPN.Fem.Sing	Macaé
(	PUNCT.Par.Left	(
29/05	NUM	@card@
)	PUNCT.Par.Right	)
e	CCONJ	e
Rio	PROPN.Masc.Sing	Rio
de	ADP	de
Janeiro	PROPN.Sing	Janeiro
(	PUNCT.Par.Left	(
06/06	NUM	@card@
)	PUNCT.Par.Right	)
.	PUNCT.Sent	.
Estiveram	AUX.Fin.Plur	estar
representados	VERB.Part.Masc.Plur	representar
os	DET.Masc.Plur	o
seguintes	ADJ.Masc.Plur	seguinte
municípios	NOUN.Masc.Plur	município
:	PUNCT.Colon	:
Angra	PROPN.Fem.Sing	Angra
dos	ADP_DET.Masc.Plur	de_o
Reis	PROPN.Sing	Reis
;	PUNCT.Semicolon	;
Armação	PROPN.Fem.Sing	Armação
dos	ADP_DET.Masc.Plur	de_o
Búzios	PROPN.Fem.Sing	Búzios
;	PUNCT.Semicolon	;
Cabo	PROPN.Masc.Sing	Cabo
Frio	ADJ.Masc.Sing	frio
;	PUNCT.Semicolon	;
Casimiro	PROPN.Sing	Casimiro
de	ADP	de
Abreu	PROPN.Sing	Abreu
;	PUNCT.Semicolon	;
Conceição	PROPN.Sing	Conceição
de	ADP	de
Macabu	PROPN.Masc.Sing	<unknown>
;	PUNCT.Semicolon	;
Duas	NUM	dois
Barras	NOUN.Fem.Plur	barra
;	PUNCT.Semicolon	;
Itatiaia	PROPN.Fem.Sing	Itatiaia
;	PUNCT.Semicolon	;
Macaé	PROPN.Fem.Sing	Macaé
;	PUNCT.Semicolon	;
Magé	PROPN.Masc.Sing	<unknown>
;	PUNCT.Semicolon	;
Maricá	NOUN.Fem.Sing	maricá
;	PUNCT.Semicolon	;
Mendes	PROPN.Masc.Sing	Mendes
;	PUNCT.Semicolon	;
Miguel	PROPN.Masc.Sing	Miguel
Pereira	PROPN.Sing	Pereira
;	PUNCT.Semicolon	;
Nilópolis	PROPN.Fem.Sing	Nilópolis
;	PUNCT.Semicolon	;
Niterói	PROPN.Masc.Sing	Niterói
;	PUNCT.Semicolon	;
Nova	PROPN.Masc.Sing	Nova
Friburgo	PROPN.Masc.Sing	Friburgo
;	PUNCT.Semicolon	;
Paraíba	PROPN.Fem.Sing	Paraíba
do	ADP_DET.Masc.Sing	de_o
Sul	PROPN.Sing	Sul
;	PUNCT.Semicolon	;
Paraty	PROPN.Fem.Sing	Paraty
;	PUNCT.Semicolon	;
Paty	PROPN.Masc.Sing	<unknown>
do	ADP_DET.Masc.Sing	de_o
Alferes	NOUN.Masc.Plur	alferes
;	PUNCT.Semicolon	;
Pinheiral	NOUN.Masc.Sing	pinheiral
;	PUNCT.Semicolon	;
Piraí	PROPN.Fem.Sing	Piraí
;	PUNCT.Semicolon	;
Quatis	NOUN.Masc.Plur	quati
;	PUNCT.Semicolon	;
Queimados	VERB.Part.Masc.Plur	queimar
;	PUNCT.Semicolon	;
Quissamã	PROPN.Masc.Sing	<unknown>
;	PUNCT.Semicolon	;
Resende	PROPN.Sing	Resende
;	PUNCT.Semicolon	;
Rio	PROPN.Masc.Sing	Rio
Claro	PROPN.Sing	Claro
;	PUNCT.Semicolon	;
Rio	PROPN.Masc.Sing	Rio
das	ADP_DET.Fem.Plur	de_o
Ostras	NOUN.Fem.Plur	ostra
;	PUNCT.Semicolon	;
Rio	PROPN.Masc.Sing	Rio
de	ADP	de
Janeiro	PROPN.Sing	Janeiro
;	PUNCT.Semicolon	;
Santo	PROPN.Masc.Sing	Santo
Antônio	PROPN.Sing	Antônio
de	ADP	de
Pádua	PROPN.Masc.Sing	Pádua
;	PUNCT.Semicolon	;
São	PROPN.Masc.Sing	São
Gonçalo	PROPN.Masc.Sing	Gonçalo
;	PUNCT.Semicolon	;
Sapucaia	NOUN.Fem.Sing	sapucaia
;	PUNCT.Semicolon	;
Saquarema	NOUN.Masc.Sing	saquarema
;	PUNCT.Semicolon	;
Seropédica	PROPN.Sing	<unknown>
;	PUNCT.Semicolon	;
Silva	PROPN.Masc.Sing	Silva
Jardim	PROPN.Sing	Jardim
;	PUNCT.Semicolon	;
Tanguá	PROPN.Masc.Sing	<unknown>
;	PUNCT.Semicolon	;
Teresópolis	PROPN.Fem.Sing	Teresópolis
;	PUNCT.Semicolon	;
Três	PROPN.Masc.Sing	Três
Rios	PROPN.Sing	Rios
;	PUNCT.Semicolon	;
Vassouras	PROPN.Sing	Vassouras
e	CCONJ	e
Volta	PROPN.Fem.Sing	Volta
Redonda	PROPN.Sing	Redonda
.	PUNCT.Sent	.
