Silva	PROPN.Sing	Silva
(	PUNCT.Par.Left	(
2019	NUM	@card@
,	PUNCT.Comma	,
p.16-17	NOUN.Masc.Sing	p@card@
)	PUNCT.Par.Right	)
cita	VERB.Fin.Sing	citar
que	SCONJ	que
:	PUNCT.Colon	:
Uma	DET.Fem.Sing	um
teoria	NOUN.Fem.Sing	teoria
de	ADP	de
currículo	NOUN.Masc.Sing	currículo
define	VERB.Fin.Sing	definir
-se	PRON.Masc.Sing	se
pelos	ADP_DET.Masc.Plur	por_o
conceitos	NOUN.Masc.Plur	conceito
que	PRON.Rel.Masc.Sing	que
utiliza	VERB.Fin.Sing	utilizar
para	ADP	para
conceber	VERB.Inf	conceber
a	DET.Fem.Sing	o
“	PUNCT.Quot	“
realidade	NOUN.Fem.Sing	realidade
”	PUNCT.Quot	”
Os	DET.Masc.Plur	o
conceitos	NOUN.Masc.Plur	conceito
de	ADP	de
uma	DET.Fem.Sing	um
teoria	NOUN.Fem.Sing	teoria
dirigem	VERB.Fin.Plur	dirigir
nossa	DET.Fem.Sing	nosso
atenção	NOUN.Fem.Sing	atenção
para	ADP	para
certas	DET.Fem.Plur	certo
coisas	NOUN.Fem.Plur	coisa
que	PRON.Rel.Fem.Plur	que
sem	ADP	sem
eles	PRON.Masc.Plur	eles
não	ADV	não
“	PUNCT.Quot	“
veríamos	VERB.Fin.Plur	ver
”	PUNCT.Quot	”
.	PUNCT.Sent	.
Os	DET.Masc.Plur	o
conceitos	NOUN.Masc.Plur	conceito
de	ADP	de
uma	DET.Fem.Sing	um
teoria	NOUN.Fem.Sing	teoria
organizam	VERB.Fin.Plur	organizar
e	CCONJ	e
estruturam	VERB.Fin.Plur	estruturar
nossa	DET.Fem.Sing	nosso
forma	NOUN.Fem.Sing	forma
de	ADP	de
ver	VERB.Inf	ver
a	DET.Fem.Sing	o
“	PUNCT.Quot	“
realidade	NOUN.Fem.Sing	realidade
”	PUNCT.Quot	”
.	PUNCT.Sent	.
