Cabe	VERB.Fin.Sing	caber
lembrar	VERB.Inf	lembrar
que	SCONJ	que
entre	ADP	entre
os	DET.Masc.Plur	o
anos	NOUN.Masc.Plur	ano
de	ADP	de
2009	NUM	@card@
e	CCONJ	e
2011	NUM	@card@
foram	AUX.Fin.Plur	ser
elaboradas	VERB.Part.Fem.Plur	elaborar
e	CCONJ	e
aprovadas	VERB.Part.Fem.Plur	aprovar
pelo	ADP_DET.Masc.Sing	por_o
CNE	PROPN.Fem.Sing	CNE
Diretrizes	ADJ.Fem.Plur	diretor
Nacionais	PROPN.Sing	Nacionais
Curriculares	ADJ.Masc.Plur	curricular
para	ADP	para
a	DET.Fem.Sing	o
Educação	PROPN.Fem.Sing	Educação
Infantil	ADJ.Fem.Sing	infantil
,	PUNCT.Comma	,
para	ADP	para
o	DET.Sing	o
Ensino	NOUN.Sing	Ensino
Fundamental	ADJ.Fem.Sing	fundamental
e	CCONJ	e
para	ADP	para
o	DET.Masc.Sing	o
Ensino	NOUN.Masc.Sing	ensino
Médio	PROPN.Masc.Sing	Médio
,	PUNCT.Comma	,
homologadas	VERB.Part.Fem.Plur	homologar
pelo	ADP_DET.Masc.Sing	por_o
MEC	PROPN.Masc.Sing	<unknown>
.	PUNCT.Sent	.
