##	NOUN.Fem.Sing	<unknown>
QUÍMICA	ADJ.Fem.Sing	químico
A	DET.Fem.Sing	o
Química	NOUN.Fem.Sing	química
é	AUX.Fin.Sing	ser
uma	DET.Fem.Sing	um
ciência	NOUN.Fem.Sing	ciência
muito	ADV	muito
mais	ADV	mais
presente	ADJ.Masc.Sing	presente
no	ADP_DET.Masc.Sing	em_o
nosso	DET.Masc.Sing	nosso
dia	NOUN.Masc.Sing	dia
a	ADP	a
dia	NOUN.Masc.Sing	dia
do	ADP_PRON.Masc.Sing	de_o
que	PRON.Rel.Masc.Sing	que
muitas	DET.Fem.Plur	muito
pessoas	NOUN.Fem.Plur	pessoa
conseguem	VERB.Fin.Plur	conseguir
observar	VERB.Inf	observar
.	PUNCT.Sent	.
Nosso	DET.Masc.Sing	nosso
corpo	NOUN.Masc.Sing	corpo
funciona	VERB.Fin.Sing	funcionar
através	ADV	através
de	ADP	de
reações	NOUN.Fem.Plur	reação
químicas	ADJ.Fem.Plur	químico
que	PRON.Rel.Fem.Plur	que
geram	VERB.Fin.Plur	gerar
energia	NOUN.Fem.Sing	energia
para	ADP	para
seu	DET.Masc.Sing	seu
movimento	NOUN.Masc.Sing	movimento
.	PUNCT.Sent	.
Diversas	DET.Fem.Plur	diversos
reações	NOUN.Fem.Plur	reação
também	ADV	também
acontecem	VERB.Fin.Plur	acontecer
em	ADP	em
meios	NOUN.Masc.Plur	meio
de	ADP	de
transporte	NOUN.Masc.Sing	transporte
,	PUNCT.Comma	,
por	ADP	por
reestruturação	NOUN.Fem.Sing	reestruturação
da	ADP_DET.Fem.Sing	de_o
matéria	NOUN.Fem.Sing	matéria
,	PUNCT.Comma	,
recombinação	NOUN.Fem.Sing	recombinação
de	ADP	de
átomos	NOUN.Masc.Plur	átomo
e	CCONJ	e
moléculas	NOUN.Fem.Plur	molécula
.	PUNCT.Sent	.
A	DET.Fem.Sing	o
Química	NOUN.Fem.Sing	química
está	AUX.Fin.Sing	estar
presente	ADJ.Fem.Sing	presente
desde	ADP	desde
a	DET.Fem.Sing	o
roupa	NOUN.Fem.Sing	roupa
que	PRON.Rel.Fem.Sing	que
vestimos	VERB.Fin.Plur	vestir
ao	ADP_DET.Masc.Sing	a_o
celular	ADJ.Masc.Sing	celular
que	SCONJ	que
usamos	VERB.Fin.Plur	usar
.	PUNCT.Sent	.
No	ADP_DET.Masc.Sing	em_o
entanto	NOUN.Masc.Sing	entanto
