O	DET.Sing	O
é	AUX.Fin.Sing	ser
uma	DET.Fem.Sing	um
exigência	NOUN.Fem.Sing	exigência
do	ADP_DET.Masc.Sing	de_o
direito	NOUN.Masc.Sing	direito
que	PRON.Rel.Masc.Sing	que
os	DET.Masc.Plur	o
educandos	NOUN.Masc.Plur	<unknown>
têm	AUX.Fin.Plur	ter
a	ADP	a
ser	AUX.Inf	ser
respeitados	VERB.Part.Masc.Plur	respeitar
em	ADP	em
seus	DET.Masc.Plur	seu
tempos	NOUN.Masc.Plur	tempo
mentais	ADJ.Masc.Plur	mental
,	PUNCT.Comma	,
culturais	ADJ.Masc.Plur	cultural
,	PUNCT.Comma	,
éticos	ADJ.Masc.Plur	ético
e	CCONJ	e
humanos	ADJ.Masc.Plur	humano
.	PUNCT.Sent	.
(	PUNCT.Par.Left	(
ARROYO	PROPN.Masc.Sing	Arroyo
,	PUNCT.Comma	,
2007	NUM	@card@
,	PUNCT.Comma	,
p.	NOUN.Fem.Sing	p.
45-46	NUM	@card@
)	PUNCT.Par.Right	)
.	PUNCT.Sent	.
