	VERB.Fin.Sing	<unknown>
9º	ADJ.Masc.Sing	9º
Ano	NOUN.Masc.Sing	ano
:	PUNCT.Colon	:
“	PUNCT.Quot	“
Sociedade	NOUN.Fem.Sing	sociedade
e	CCONJ	e
consumo	NOUN.Masc.Sing	consumo
”	PUNCT.Quot	”
;	PUNCT.Semicolon	;
“	PUNCT.Quot	“
Internet	PROPN.Fem.Sing	Internet
:	PUNCT.Colon	:
suas	DET.Fem.Plur	seu
linguagens	NOUN.Fem.Plur	linguagem
e	CCONJ	e
armadilhas	NOUN.Fem.Plur	armadilha
”	PUNCT.Quot	”
;	PUNCT.Semicolon	;
“	PUNCT.Quot	“
Mundo	NOUN.Masc.Sing	mundo
globalizado	ADJ.Masc.Sing	globalizado
:	PUNCT.Colon	:
identidades	NOUN.Fem.Plur	identidade
”	PUNCT.Quot	”
.	PUNCT.Sent	.
