Um	DET.Masc.Sing	um
livro	NOUN.Masc.Sing	livro
de	ADP	de
poesia	NOUN.Fem.Sing	poesia
na	ADP_DET.Fem.Sing	em_o
gaveta	NOUN.Fem.Sing	gaveta
não	ADV	não
adianta	VERB.Fin.Sing	adiantar
nada	PRON.Masc.Sing	nada
Lugar	NOUN.Masc.Sing	lugar
de	ADP	de
poesia	NOUN.Fem.Sing	poesia
é	AUX.Fin.Sing	ser
na	ADP_DET.Fem.Sing	em_o
calçada	NOUN.Fem.Sing	calçada
Lugar	NOUN.Masc.Sing	lugar
de	ADP	de
quadro	NOUN.Masc.Sing	quadro
é	AUX.Fin.Sing	ser
na	ADP_DET.Fem.Sing	em_o
exposição	NOUN.Fem.Sing	exposição
Lugar	NOUN.Masc.Sing	lugar
de	ADP	de
música	NOUN.Fem.Sing	música
é	AUX.Fin.Sing	ser
no	ADP_DET.Masc.Sing	em_o
rádio	NOUN.Masc.Sing	rádio
Ator	NOUN.Masc.Sing	ator
se	SCONJ	se
vê	VERB.Fin.Sing	ver
no	ADP_DET.Masc.Sing	em_o
palco	NOUN.Masc.Sing	palco
e	CCONJ	e
na	ADP_DET.Fem.Sing	em_o
televisão	NOUN.Fem.Sing	televisão
O	DET.Masc.Sing	o
peixe	NOUN.Masc.Sing	peixe
é	AUX.Fin.Sing	ser
no	ADP_DET.Masc.Sing	em_o
mar	NOUN.Masc.Sing	mar
Lugar	NOUN.Masc.Sing	lugar
de	ADP	de
samba	NOUN.Masc.Sing	samba
enredo	NOUN.Masc.Sing	enredo
é	AUX.Fin.Sing	ser
no	ADP_DET.Masc.Sing	em_o
asfalto	NOUN.Masc.Sing	asfalto
Lugar	NOUN.Masc.Sing	lugar
de	ADP	de
samba	NOUN.Masc.Sing	samba
enredo	NOUN.Masc.Sing	enredo
é	AUX.Fin.Sing	ser
no	ADP_DET.Masc.Sing	em_o
asfalto	NOUN.Masc.Sing	asfalto
Aonde	ADV	aonde
vai	AUX.Fin.Sing	ir
o	DET.Masc.Sing	o
pé	NOUN.Masc.Sing	pé
arrasta	VERB.Fin.Sing	arrastar
o	DET.Masc.Sing	o
salto	NOUN.Masc.Sing	salto
,	PUNCT.Comma	,
Lugar	NOUN.Masc.Sing	lugar
de	ADP	de
samba	NOUN.Masc.Sing	samba
enredo	NOUN.Masc.Sing	enredo
é	AUX.Fin.Sing	ser
no	ADP_DET.Masc.Sing	em_o
asfalto	NOUN.Masc.Sing	asfalto
Aonde	ADV	aonde
a	ADP	a
pé	NOUN.Masc.Sing	pé
vai	AUX.Fin.Sing	ir
se	PRON	se
gasta	VERB.Fin.Sing	gastar
a	DET.Fem.Sing	o
sola	NOUN.Fem.Sing	sola
Lugar	NOUN.Masc.Sing	lugar
de	ADP	de
samba	NOUN.Masc.Sing	samba
enredo	NOUN.Masc.Sing	enredo
é	AUX.Fin.Sing	ser
na	ADP_DET.Fem.Sing	em_o
escola	NOUN.Fem.Sing	escola
