Apreciar	VERB.Inf	apreciar
poemas	NOUN.Masc.Plur	poema
visuais	ADJ.Masc.Plur	visual
e	CCONJ	e
concretos	ADJ.Masc.Plur	concreto
,	PUNCT.Comma	,
observando	VERB.Part	observar
efeitos	NOUN.Masc.Plur	efeito
de	ADP	de
sentido	NOUN.Masc.Sing	sentido
criados	VERB.Part.Masc.Plur	criar
pelo	ADP_DET.Masc.Sing	por_o
formato	NOUN.Masc.Sing	formato
do	ADP_DET.Masc.Sing	de_o
texto	NOUN.Masc.Sing	texto
na	ADP_DET.Fem.Sing	em_o
página	NOUN.Fem.Sing	página
,	PUNCT.Comma	,
distribuição	NOUN.Fem.Sing	distribuição
e	CCONJ	e
diagramação	NOUN.Fem.Sing	diagramação
das	ADP_DET.Fem.Plur	de_o
letras	NOUN.Fem.Plur	letra
,	PUNCT.Comma	,
pelas	ADP_DET.Fem.Plur	por_o
ilustrações	NOUN.Fem.Plur	ilustração
e	CCONJ	e
por	ADP	por
outros	DET.Masc.Plur	outro
efeitos	NOUN.Masc.Plur	efeito
visuais	ADJ.Masc.Plur	visual
.	PUNCT.Sent	.
