lemma target_count comparison_count target_per_1k comparison_per_1k expected LL %DIFF status
santo 51 2 117.24 1.09 10.15 152.39 196.32 POSKW
espírito 54 11 124.14 5.99 12.45 124.06 181.58 POSKW
integrador 22 3 50.57 1.63 4.79 55.65 187.48 POSKW
verbo 18 2 41.38 1.09 3.83 47.34 189.74 POSKW
complemento 18 2 41.38 1.09 3.83 47.34 189.74 POSKW
modificador 17 2 39.08 1.09 3.64 44.25 189.15 POSKW
explicitar 32 21 73.56 11.44 10.15 43.52 146.18 POSKW
tema 42 44 96.55 23.97 16.47 38.36 120.46 POSKW
bloco 15 4 34.48 2.18 3.64 31.72 176.23 POSKW
descrever 27 25 62.07 13.62 9.96 27.86 128.04 POSKW
esperar 35 44 80.46 23.97 15.13 25.91 108.2 POSKW
brasil 46 82 105.75 44.66 24.52 19.73 81.22 POSKW
abordagem 31 51 71.26 27.78 15.71 15.4 87.81 POSKW
complexidade 25 36 57.47 19.61 11.68 15.37 98.25 POSKW
ciência 37 71 85.06 38.67 20.69 13.66 74.98 POSKW
essencial 33 64 75.86 34.86 18.58 11.9 74.07 POSKW
progressão 23 39 52.87 21.24 11.88 10.83 85.36 POSKW
contexto 70 185 160.92 100.76 48.84 10.32 45.98 POSKW
cidadão 27 55 62.07 29.96 15.71 8.71 69.79 POSKW
abordar 25 52 57.47 28.32 14.75 7.67 67.95 POSKW
e/ou 16 27 36.78 14.71 8.24 7.6 85.75 POSKW
seguinte 16 27 36.78 14.71 8.24 7.6 85.75 POSKW
habilidade 101 310 232.18 168.85 78.73 7.31 31.59 POSKW
buscar 34 82 78.16 44.66 22.22 6.91 54.55 POSKW
presente 37 92 85.06 50.11 24.71 6.8 51.71 POSKW
conhecimento 154 512 354.02 278.87 127.57 6.45 23.75 POSKW
relacionar 43 114 98.85 62.09 30.07 6.26 45.68 POSKW
cognitivo 28 66 64.37 35.95 18.01 6.11 56.66 POSKW
eixo 18 36 41.38 19.61 10.34 6.06 71.4 POSKW
longo 46 128 105.75 69.72 33.33 5.48 41.07 POSKW
científico 33 85 75.86 46.3 22.6 5.36 48.41 POSKW
sociedade 54 158 124.14 86.06 40.61 5.07 36.23 POSKW
especificidade 18 39 41.38 21.24 10.92 4.98 64.32 POSKW
ver 18 39 41.38 21.24 10.92 4.98 64.32 POSKW
representar 23 56 52.87 30.5 15.13 4.53 53.67 POSKW
objeto 56 170 128.74 92.59 43.29 4.32 32.66 POSKW
ativo 16 35 36.78 19.06 9.77 4.32 63.46 POSKW
acordo 26 68 59.77 37.04 18.01 3.99 46.97 POSKW
ano 101 339 232.18 184.64 84.28 3.92 22.81 POSKW
pedagógico 14 176 32.18 95.86 36.39 21.15 -99.46 NEGKW
ter 23 226 52.87 123.09 47.69 18.75 -79.81 NEGKW
desenvolvimento 41 332 94.25 180.83 71.45 18.33 -62.95 NEGKW
escola 33 246 75.86 133.99 53.44 10.86 -55.4 NEGKW
bncc 30 227 68.97 123.64 49.23 10.47 -56.77 NEGKW
estudante 119 677 273.56 368.74 152.47 9.66 -29.64 NEGKW
sentido 23 181 52.87 98.58 39.08 9.29 -60.36 NEGKW
trabalho 27 200 62.07 108.93 43.48 8.67 -54.81 NEGKW
situação 15 127 34.48 69.17 27.2 7.8 -66.93 NEGKW
prática 60 366 137.93 199.35 81.6 7.63 -36.42 NEGKW
competência 29 202 66.67 110.02 44.25 7.2 -49.08 NEGKW
princípio 15 118 34.48 64.27 25.48 6.05 -60.33 NEGKW
ser 19 139 43.68 75.71 30.26 5.8 -53.66 NEGKW
propor 19 136 43.68 74.07 29.69 5.3 -51.63 NEGKW
currículo 47 277 108.05 150.87 62.06 4.84 -33.08 NEGKW
formação 32 201 73.56 109.48 44.63 4.8 -39.24 NEGKW
final 20 135 45.98 73.53 29.69 4.31 -46.11 NEGKW
reconhecer 18 124 41.38 67.54 27.2 4.26 -48.03 NEGKW
permitir 16 112 36.78 61.0 24.52 4.06 -49.54 NEGKW
professor 32 193 73.56 105.12 43.1 3.8 -35.32 NOTKW
possibilitar 18 121 41.38 65.9 26.62 3.8 -45.72 NOTKW
relação 54 299 124.14 162.85 67.62 3.59 -26.98 NOTKW
construção 34 201 78.16 109.48 45.01 3.57 -33.38 NOTKW
importante 27 164 62.07 89.32 36.59 3.35 -36.01 NOTKW
povo 14 32 32.18 17.43 8.81 3.35 59.48 NOTKW
comunidade 27 75 62.07 40.85 19.54 3.24 41.24 NOTKW
sujeito 39 117 89.66 63.73 29.88 3.21 33.81 NOTKW
manifestação 26 72 59.77 39.22 18.77 3.16 41.53 NOTKW
amplo 16 39 36.78 21.24 10.54 3.14 53.56 NOTKW
inglês 19 49 43.68 26.69 13.03 3.07 48.29 NOTKW
ressaltar 18 46 41.38 25.05 12.26 3.01 49.15 NOTKW
construir 21 130 48.28 70.81 28.92 2.9 -37.84 NOTKW
novo 27 160 62.07 87.15 35.82 2.88 -33.61 NOTKW
compreender 67 224 154.02 122.0 55.74 2.68 23.2 NOTKW
identificar 26 75 59.77 40.85 19.35 2.62 37.61 NOTKW
ético 14 91 32.18 49.56 20.11 2.51 -42.52 NOTKW
objetivo 14 90 32.18 49.02 19.92 2.37 -41.47 NOTKW
definir 14 90 32.18 49.02 19.92 2.37 -41.47 NOTKW
consciência 15 39 34.48 21.24 10.34 2.35 47.52 NOTKW
estado 18 110 41.38 59.91 24.52 2.31 -36.59 NOTKW
valer 14 36 32.18 19.61 9.58 2.29 48.56 NOTKW
possibilidade 15 94 34.48 51.2 20.88 2.22 -39.02 NOTKW
vida 42 226 96.55 123.09 51.33 2.21 -24.17 NOTKW
ciências 22 64 50.57 34.86 16.47 2.13 36.79 NOTKW
partir 32 176 73.56 95.86 39.84 2.02 -26.32 NOTKW
exercício 14 87 32.18 47.39 19.35 1.98 -38.21 NOTKW
meio 43 228 98.85 124.18 51.91 1.98 -22.72 NOTKW
perceber 17 48 39.08 26.14 12.45 1.9 39.67 NOTKW
docente 17 48 39.08 26.14 12.45 1.9 39.67 NOTKW
cultural 61 210 140.23 114.38 51.91 1.89 20.31 NOTKW
aprender 34 109 78.16 59.37 27.39 1.87 27.33 NOTKW
utilizar 17 101 39.08 55.01 22.6 1.84 -33.86 NOTKW
histórico 36 117 82.76 63.73 29.31 1.79 25.99 NOTKW
geral 15 90 34.48 49.02 20.11 1.73 -34.82 NOTKW
mesmo 25 139 57.47 75.71 31.41 1.71 -27.39 NOTKW
texto 25 139 57.47 75.71 31.41 1.71 -27.39 NOTKW
diversidade 39 129 89.66 70.26 32.18 1.7 24.25 NOTKW
direito 20 114 45.98 62.09 25.67 1.65 -29.82 NOTKW
alfabetização 18 53 41.38 28.87 13.6 1.64 35.62 NOTKW
viver 23 71 52.87 38.67 18.01 1.61 31.03 NOTKW
autonomia 15 89 34.48 48.47 19.92 1.61 -33.73 NOTKW
dimensão 32 104 73.56 56.64 26.05 1.59 25.99 NOTKW
grande 32 104 73.56 56.64 26.05 1.59 25.99 NOTKW
aspecto 30 97 68.97 52.83 24.33 1.55 26.49 NOTKW
diferente 56 282 128.74 153.59 64.74 1.51 -17.61 NOTKW
espaço 42 217 96.55 118.19 49.61 1.51 -20.15 NOTKW
processo 99 363 227.59 197.71 88.49 1.5 14.05 NOTKW
conceito 19 107 43.68 58.28 24.13 1.43 -28.64 NOTKW
participação 19 58 43.68 31.59 14.75 1.42 32.12 NOTKW
experiência 27 145 62.07 78.98 32.95 1.39 -23.97 NOTKW
interação 22 121 50.57 65.9 27.39 1.39 -26.32 NOTKW
indivíduo 15 44 34.48 23.97 11.3 1.39 35.99 NOTKW
analisar 21 66 48.28 35.95 16.66 1.31 29.27 NOTKW
artístico 17 96 39.08 52.29 21.64 1.31 -28.91 NOTKW
