Dependent	Source	DF	SS	MS	FValue	ProbF
fac1	Model	26	52460.5614	2017.7139	19.21	<.0001
fac1	Error	4085	429153.6867	105.0560	_	_
fac1	Corrected Total	4111	481614.2481	_	_	_
