Effect	state	N	Mean fac2	SD fac2
state	ac	139	7.0215827	8.05908222
state	al	170	4.8058824	6.78346149
state	am	148	7.3175676	7.04121700
state	ap	134	7.6716418	7.52617100
state	ba	135	9.7629630	9.21161451
state	ce	148	8.8378378	7.83942075
state	df	103	8.0194175	6.35853692
state	es	104	6.1057692	6.52986904
state	go	150	6.7333333	7.81726421
state	ma	146	9.1986301	8.52389733
state	mg	293	6.2627986	6.42841629
state	ms	102	9.4117647	7.76429112
state	mt	227	5.6387665	6.77527352
state	pa	175	8.8742857	7.56475277
state	pb	209	4.4019139	5.56786765
state	pe	158	5.3227848	5.53307252
state	pi	127	8.7165354	8.53926286
state	pr	178	8.2191011	7.73737538
state	rj	98	5.5714286	5.54457104
state	rn	149	5.5100671	6.74197967
state	ro	279	6.3727599	7.04334805
state	rr	164	8.2378049	9.04715852
state	rs	141	8.8581560	8.23978290
state	sc	118	11.8305085	7.22685529
state	se	68	9.9411765	9.21530582
state	sp	103	6.2233010	5.45198658
state	to	145	7.8344828	8.99460779
