Effect	state	N	Mean fac4	SD fac4
state	ac	139	1.64748201	2.34323977
state	al	170	3.17058824	5.28705740
state	am	148	2.62837838	3.60513693
state	ap	134	1.73134328	2.98155780
state	ba	135	4.57777778	4.60769419
state	ce	148	2.54729730	3.25416418
state	df	103	1.77669903	3.05162136
state	es	104	2.87500000	4.82647935
state	go	150	2.95333333	4.05885670
state	ma	146	3.04109589	4.28610701
state	mg	293	2.00341297	2.85193793
state	ms	102	2.45098039	2.82712271
state	mt	227	2.28634361	3.57497922
state	pa	175	5.03428571	4.73783638
state	pb	209	1.45454545	2.74721728
state	pe	158	1.23417722	2.46547555
state	pi	127	2.56692913	3.21847482
state	pr	178	2.20786517	3.20954525
state	rj	98	2.37755102	2.76769027
state	rn	149	2.69798658	3.50618122
state	ro	279	1.86379928	2.83149322
state	rr	164	2.57926829	3.63349239
state	rs	141	2.64539007	2.92070136
state	sc	118	3.72033898	5.58215348
state	se	68	2.47058824	2.90378337
state	sp	103	1.46601942	2.30861784
state	to	145	1.93103448	2.63958954
