_NAME_,Factor1,Factor2,Factor3,Factor4,loaded,factor,pole
v000001,0.4040724233,0.0610331232,0.2176518472,0.0241392739,1,fac1,1
v000002,0.2919860986,0.2334065988,0.1060189839,-0.023208153,0,,
v000003,0.4476912286,-0.094721701,-0.106035598,0.0635540365,1,fac1,1
v000004,0.3331454269,0.102128465,0.1497911651,0.2859538316,1,fac1,1
v000005,-0.04830904,-0.198842204,-0.065839515,0.0685100519,0,,
v000006,0.1661738107,0.1607703306,0.339938518,0.0751014665,1,fac3,1
v000007,0.0865579778,0.2318185546,0.4018018139,-0.253861088,1,fac3,1
v000008,0.1989741734,-0.227272097,-0.078143026,-0.220389579,0,,
v000009,0.244946399,0.1186345237,0.2432338169,-0.064291284,0,,
v000010,0.1937518064,0.1418997707,0.240730322,-0.079671189,0,,
v000011,-0.128439238,0.3115729944,-0.258728147,-0.286609927,1,fac2,1
v000012,0.0937181404,0.4284763116,0.0489047136,0.0195648446,1,fac2,1
v000013,0.1548997309,0.3223952832,-0.009194919,0.1342494951,1,fac2,1
v000014,-0.119794117,0.3023403253,0.5048094896,0.047797236,1,fac3,1
v000015,0.2591066804,0.3123177969,0.2713985941,-0.23121457,1,fac2,1
v000016,0.0693349669,0.1397664433,0.652565362,0.1153539941,1,fac3,1
v000017,0.2573924611,-0.227234755,-0.133483648,-0.278052214,0,,
v000018,0.3669038551,0.1933390038,0.1416001862,-0.025041711,1,fac1,1
v000019,-0.14140794,-0.074678347,0.3617893954,0.1643242499,1,fac3,1
v000020,0.3195350697,0.1186732362,0.2516695231,0.0391480666,1,fac1,1
v000021,-0.626448036,-0.361314955,-0.391931988,0.7540686639,1,fac4,1
v000022,-0.279971258,0.2598985185,-0.129947115,0.3974168413,1,fac4,1
v000023,0.1094734541,-0.134753275,0.2496665465,-0.049039965,0,,
v000024,0.0121106642,0.3401807719,0.0714018136,0.6589116297,1,fac4,1
v000025,0.1671898312,-0.137408397,0.6217333039,-0.195062958,1,fac3,1
v000026,0.2168060804,-0.239584982,0.0682641298,0.4972933821,1,fac4,1
v000027,0.2383238669,0.0275646649,0.2205814389,-0.12176885,0,,
v000028,0.2501507359,0.1989624777,0.0130621717,-0.024820623,0,,
v000029,0.3096420298,0.3284000932,-0.068922069,-0.137514255,1,fac2,1
v000030,-0.095421792,-0.035707179,-0.113228633,0.0043081201,0,,
v000031,-0.1705393,0.5440465245,0.2545793894,0.2726503812,1,fac2,1
v000032,0.1864667343,0.027005927,-0.215037889,0.1022678654,0,,
v000033,0.3620266046,0.0522623698,-0.094955655,0.0193750398,1,fac1,1
v000034,-0.012666257,-0.100126067,-0.160164202,0.4056802723,1,fac4,1
v000036,0.3385959242,0.0551143527,-0.141987991,0.5135170818,1,fac4,1
v000038,0.2629068235,0.0963595356,0.0244997016,0.156035978,0,,
