Effect	state	N	Mean fac5	SD fac5
state	ac	139	1.43884892	2.17067113
state	al	170	1.87647059	2.39378619
state	am	148	1.66891892	2.81248072
state	ap	134	1.00746269	1.87783377
state	ba	135	0.10370370	2.04528608
state	ce	148	0.62162162	1.79343248
state	df	103	1.04854369	2.04545714
state	es	105	1.50476190	2.95193486
state	go	150	2.25333333	2.72494484
state	ma	146	0.99315068	1.58656678
state	mg	293	0.98293515	1.64161910
state	ms	102	0.93137255	1.98139767
state	mt	227	1.61233480	2.28489215
state	pa	175	0.72000000	1.59251121
state	pb	209	1.57416268	2.30081557
state	pe	158	0.93670886	1.47022917
state	pi	127	0.90551181	1.63023550
state	pr	178	1.78651685	2.80826830
state	rj	98	0.97959184	1.30011571
state	rn	149	1.06040268	1.74072130
state	ro	279	1.47670251	2.32255020
state	rr	164	0.92073171	1.41847908
state	rs	141	0.53191489	1.61490022
state	sc	118	2.00847458	2.23605178
state	se	68	1.35294118	2.36747051
state	sp	103	1.65048544	1.96393332
state	to	145	2.22758621	5.17706592
