Effect	state	N	Mean fac1	SD fac1
state	ac	139	18.9352518	12.0915641
state	al	170	19.2882353	10.8831547
state	am	148	16.9527027	13.4722362
state	ap	134	19.2388060	12.3289372
state	ba	135	22.3555556	14.9394133
state	ce	148	25.0472973	15.8158340
state	df	103	20.9805825	12.6560693
state	es	104	17.8846154	13.2542777
state	go	150	22.4466667	13.9897070
state	ma	146	24.0479452	14.4862990
state	mg	293	16.7849829	9.2690851
state	ms	102	18.9117647	14.6848767
state	mt	227	23.3964758	15.1611283
state	pa	175	28.1828571	16.0032591
state	pb	209	20.4401914	14.2588539
state	pe	158	16.6835443	10.3807076
state	pi	127	24.4251969	14.7047772
state	pr	178	33.6966292	19.1776733
state	rj	98	14.6326531	9.8120353
state	rn	149	16.5704698	12.2161031
state	ro	279	20.8817204	14.9943751
state	rr	164	17.2926829	12.2384166
state	rs	141	17.7943262	12.2937369
state	sc	118	36.8305085	20.8500159
state	se	68	22.8088235	14.3758269
state	sp	103	22.2718447	10.5451356
state	to	145	16.5793103	13.1242296
