Effect	state	N	Mean fac2	SD fac2
state	ac	139	7.59712230	7.75598827
state	al	170	5.13529412	6.09873798
state	am	148	8.22297297	7.25982416
state	ap	134	8.39552239	8.32698183
state	ba	135	9.82222222	9.92724779
state	ce	148	8.39189189	7.60472028
state	df	103	7.75728155	6.24258936
state	es	105	5.93333333	6.61767253
state	go	150	7.52000000	7.79323403
state	ma	146	9.49315068	8.62973734
state	mg	293	6.35494881	6.50318292
state	ms	102	8.88235294	7.54431675
state	mt	227	5.96475771	6.54991659
state	pa	175	9.24000000	8.79783150
state	pb	209	4.97607656	5.38912740
state	pe	158	4.66455696	5.04831530
state	pi	127	8.32283465	8.71404804
state	pr	178	7.96629213	7.57926019
state	rj	98	6.04081633	5.89061523
state	rn	149	6.16778523	7.01774073
state	ro	279	6.55197133	7.11796704
state	rr	164	7.81097561	8.65179872
state	rs	141	8.06382979	7.77010091
state	sc	118	9.90677966	7.31347812
state	se	68	9.86764706	9.20886077
state	sp	103	5.95145631	5.55785726
state	to	145	9.08965517	7.60383423
