Effect	state	N	Mean fac4	SD fac4
state	ac	139	0.51798561	1.66530024
state	al	170	2.69411765	5.80455550
state	am	148	0.97972973	2.33421634
state	ap	134	0.61940299	1.69384013
state	ba	135	1.43703704	2.30057555
state	ce	148	0.72297297	1.66525496
state	df	103	0.57281553	1.71270879
state	es	105	1.12380952	2.56340833
state	go	150	0.86000000	2.64201977
state	ma	146	1.33561644	2.85095845
state	mg	293	0.74744027	1.61256898
state	ms	102	1.20588235	2.06976459
state	mt	227	0.70925110	2.29351777
state	pa	175	2.62857143	2.92517525
state	pb	209	0.85645933	2.16138953
state	pe	158	0.81012658	1.29748359
state	pi	127	1.80314961	2.59437539
state	pr	178	0.42696629	1.87392238
state	rj	98	0.94897959	1.72532650
state	rn	149	1.52348993	2.51101329
state	ro	279	0.58781362	1.93565426
state	rr	164	1.45731707	3.20534563
state	rs	141	1.21985816	1.91644089
state	sc	118	2.42372881	2.96822713
state	se	68	1.25000000	1.95757236
state	sp	103	0.66019417	1.49871447
state	to	145	0.85517241	1.70774100
