_NAME_,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,loaded,factor,pole
v000001,0.2706302948,0.1239764591,-0.006109259,-0.052956462,-0.094635088,0.1160930642,0,,
v000002,0.4163056092,-0.191252871,-0.268139795,0.0061225307,0.0397355746,0.1157651714,1,fac1,1
v000003,-0.012890576,-0.104108038,-0.040017821,0.1536331721,0.255259129,-0.212419036,0,,
v000004,0.2577651166,0.1577714436,-0.045378112,0.1976981019,0.0276356776,0.1010937314,0,,
v000005,0.2626414451,0.1783213347,0.3276444384,-0.015735768,-0.091140912,0.0848701728,1,fac3,1
v000006,-0.000690916,0.3518686951,0.4262630087,-0.188364006,0.1108634548,0.2014630753,1,fac3,1
v000007,-0.139955058,0.2426792137,-0.202438765,-0.167297725,0.145085823,0.0633569219,0,,
v000008,0.0378597716,-0.035834266,-0.108961124,-0.06442351,0.5039462991,-0.025186339,1,fac5,1
v000009,0.4749950396,0.0275183395,-0.14230096,-0.185503926,0.0128710073,0.2241786401,1,fac1,1
v000010,0.2694123401,0.1426887037,0.1877341571,-0.118546176,0.0659570478,0.1339577016,0,,
v000011,-0.302332324,0.2976455837,-0.189070531,-0.099405958,0.0211769016,0.2183049998,1,fac1,-1
v000012,0.3402662388,0.0774873796,-0.1228287,-0.045470948,0.0511352018,-0.083979177,1,fac1,1
v000013,0.2039681522,0.3624416145,-0.031763107,-0.005699241,-0.074474804,-0.041622754,1,fac2,1
v000014,0.0547371796,0.3436020715,0.5499505452,-0.054175253,-0.146192667,-0.028765247,1,fac3,1
v000015,-0.069609276,0.0335883104,0.0278722133,0.1166768917,0.0020573216,1.0395731687,1,fac6,1
v000016,0.3002352039,-0.05181603,0.6402564158,0.0509408834,-0.274795386,0.2965996481,1,fac3,1
v000017,0.0794290669,-0.125924802,-0.139783072,-0.309031402,0.3408180183,0.1644635259,1,fac5,1
v000018,0.3205516175,0.3135559395,0.0643853252,-0.114659122,0.0765311761,0.1386631425,1,fac1,1
v000019,0.4555597037,0.0721580125,0.159883288,-0.116431592,-0.04024931,0.0024010927,1,fac1,1
