Effect	state	N	Mean fac6	SD fac6
state	ac	139	2.62589928	2.91988034
state	al	170	2.32352941	2.23898472
state	am	148	1.99324324	2.19615193
state	ap	134	2.87313433	2.84280292
state	ba	135	2.93333333	2.30249702
state	ce	148	3.21621622	2.88684688
state	df	103	2.80582524	2.63854629
state	es	105	2.64761905	2.82836237
state	go	150	2.81333333	2.57605564
state	ma	146	2.89041096	2.53288247
state	mg	293	2.14675768	1.96082299
state	ms	102	3.03921569	2.95484689
state	mt	227	2.61233480	2.21208013
state	pa	175	2.96000000	2.51743347
state	pb	209	2.39234450	2.33269792
state	pe	158	2.12658228	1.94423589
state	pi	127	2.46456693	2.08849941
state	pr	178	3.81460674	2.40395393
state	rj	98	1.78571429	2.01156450
state	rn	149	2.18120805	2.11511194
state	ro	279	2.74910394	2.65690175
state	rr	164	2.34756098	2.48824109
state	rs	141	2.47517730	2.44826924
state	sc	118	9.97457627	8.57192981
state	se	68	3.17647059	2.73692919
state	sp	103	2.91262136	2.58997614
state	to	145	2.48965517	2.17982301
