Dependent	Source	DF	SS	MS	FValue	ProbF
fac5	Model	26	1064.80861	40.95418	7.94	<.0001
fac5	Error	4085	21082.47519	5.16095	_	_
fac5	Corrected Total	4111	22147.28380	_	_	_
