Effect	prompt	N	Mean fac7	SD fac7
prompt	es	426	0.31690141	0.82064295
prompt	mg	834	0.14508393	0.81657855
prompt	rj	432	0.12500000	0.77855539
prompt	sp	555	0.12972973	0.66182586
