Effect	prompt	N	Mean fac6	SD fac6
prompt	es	426	0.17840376	0.82096258
prompt	mg	834	0.21942446	0.87847770
prompt	rj	432	0.35648148	0.94770678
prompt	sp	555	0.02342342	0.86934921
