Effect	prompt	N	Mean fac2	SD fac2
prompt	es	426	1.22535211	1.70008041
prompt	mg	834	1.39688249	1.45341090
prompt	rj	432	1.24537037	1.38770767
prompt	sp	555	1.08648649	1.23417685
