_NAME_,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,loaded,factor,pole
v000001,0.2790594312,0.1217630701,-0.10496141,0.1598153333,-0.335125323,0.1125966086,0.6767942015,0.1369835442,1,fac7,1
v000002,-0.170758636,0.1778536449,-0.320450656,-0.101284723,-0.277795914,0.0406944035,0.3636662144,0.2278544561,1,fac7,1
v000003,0.495671418,-0.012007053,0.0945888611,0.8123738364,0.3218914499,0.7632187671,-0.286949359,-0.116454916,1,fac4,1
v000004,-0.129351859,-0.134708869,0.4924621289,0.1312840899,-0.049528069,-0.262757274,0.0741681736,0.0490396343,1,fac3,1
v000005,0.1713554006,0.0101189251,0.4054568637,0.4188385396,-0.108725132,-0.390689528,0.1874857629,0.3052411494,1,fac4,1
v000006,-0.265329313,0.135018943,0.2074502793,0.0066664997,-0.217097505,-0.330599067,0.101314383,0.0041008618,1,fac6,-1
v000007,0.0313615715,-0.186800073,0.0858771036,0.0051356942,-0.473594019,-0.117873985,0.1198263932,0.1568268933,1,fac5,-1
v000008,-0.081697917,0.0705437935,-0.111302157,0.6009310221,-0.025776134,-0.517239984,0.4023019483,-0.322303549,1,fac4,1
v000009,-0.00797053,0.1404687429,-0.315547503,0.4137741513,-0.054149924,0.3290570403,0.2756116789,-0.116254971,1,fac4,1
v000010,-0.305717735,0.1309962099,-0.224177902,0.121142488,0.1203855921,-0.015049781,-0.291188287,-0.905040579,1,fac8,-1
v000011,-0.356455767,0.0712742616,0.1021122395,0.0263075231,-0.136971127,-0.225425306,-0.672974146,-0.128268587,1,fac7,-1
v000012,-0.162163768,0.0915627402,0.2215172969,-0.177749274,-0.417944315,-0.070744318,0.1650846546,-0.041001148,1,fac5,-1
v000013,0.6465406673,-1.016092915,-0.336313281,-0.088466201,-0.03648622,-0.244183763,-0.001899953,0.5731189839,1,fac2,-1
v000016,-0.106582459,0.1292577038,-0.05112127,-0.078520425,0.0274027373,0.6322160693,0.427817266,0.3344972438,1,fac6,1
v000017,0.1791783992,0.6064454724,0.2288616818,-0.129791224,-0.152811726,-0.067211676,-0.050379271,-0.039369527,1,fac2,1
v000018,-0.082842537,0.2162712232,0.4023786277,0.064008404,-0.216445424,0.0076939641,0.0903794553,0.0396818865,1,fac3,1
v000019,0.0044387581,0.0273962682,0.6394101039,0.0041425594,-0.093963963,0.1228461684,-0.068411805,-0.092421422,1,fac3,1
v000020,-0.367580056,0.3822154924,-0.084314262,-0.053715739,-0.203930519,-0.294361005,-0.050048881,-0.036156515,1,fac2,1
v000021,-0.094160048,0.4907346066,-0.099057469,0.2866293206,0.0447172788,0.045617096,-0.278375846,-0.14675835,1,fac2,1
v000022,0.2030013565,0.6595342165,0.0796591687,0.0895102427,0.0865828799,0.0530110677,0.1098049568,0.1911550027,1,fac2,1
v000023,-0.025741234,0.5882350157,-0.298023604,0.0350769096,-0.199935353,-0.23140943,0.2244346888,-0.345862862,1,fac2,1
v000024,0.2818523932,0.7647441718,0.1315353184,-0.204172618,-0.098656052,-0.346242081,0.4381369015,-0.181309605,1,fac2,1
v000026,0.2684199319,0.0698128463,-0.117785455,-0.02088475,-0.675355345,0.0024923177,-0.259493882,-0.253099828,1,fac5,-1
v000027,-0.393188421,0.2114614271,0.0334350461,0.0582781854,0.0595719953,0.4228116855,-0.015826192,-0.219369107,1,fac6,1
v000028,0.072077175,0.0848285266,0.375419748,0.1809942486,0.2016193875,0.4196283208,-0.571058108,-0.05453753,1,fac7,-1
v000029,0.1051956018,0.3195797225,0.0633900972,-0.073126062,-0.479677083,0.1128479424,-0.126084209,0.0058177879,1,fac5,-1
v000030,0.851638156,-0.848171375,-0.189583734,-0.311662393,-0.126949512,0.2047005224,-0.29152095,-0.402669216,1,fac1,1
v000031,-0.3294374,-0.23606387,-0.344839908,0.0441478883,-0.442752302,-0.116069255,0.2674546021,-0.18218028,1,fac5,-1
v000032,-0.104755207,0.0749043039,0.1367546328,-0.18189424,-0.273135856,-0.116555186,-0.002571459,0.1082433999,0,,
v000033,-0.131327402,0.1767723117,0.3129178559,-0.218963592,-0.116111819,0.0996261513,0.1394648267,-0.088710313,1,fac3,1
v000034,-0.350761766,0.0641836208,0.3574432323,-0.11057237,-0.006593648,0.1199042048,-0.119086588,-0.124388851,1,fac3,1
v000035,-0.240247586,0.1562236169,0.1170682019,0.2119693782,-0.056860791,0.0949454526,-0.004856228,-0.078442713,0,,
v000036,-0.280080339,0.2499266198,-0.289394807,-0.051239247,-0.076047341,0.5226220542,-0.091120339,-0.149264897,1,fac6,1
v000037,-0.083155542,0.2026587346,-0.142974944,0.0006578433,-0.428448414,-0.027596558,0.0634907672,0.0679672391,1,fac5,-1
v000038,-0.013303001,0.2674023633,0.2462280917,0.0260643519,-0.094944566,-0.019170483,0.1091082789,-0.072907884,0,,
v000039,-0.317669104,0.1577083285,0.0388776891,-0.024965173,0.2808847458,-0.080460546,-0.000739514,-0.115373611,1,fac1,-1
v000040,-0.310773045,0.2003139236,0.1420616117,0.0053983968,0.0145140486,0.04868816,0.0545097241,0.0729405108,1,fac1,-1
v000041,-0.250680025,0.1894481652,-0.335302839,-0.028580246,-0.104681551,0.188522969,-0.344122969,0.5968692916,1,fac8,1
v000042,-0.272453061,0.1245265062,-0.00005119,0.0550665054,-0.204113643,-0.122813469,0.1015474457,0.1933621358,0,,
v000043,0.1038288271,0.0639273315,0.0330938596,0.1064231226,-0.291217633,-0.030027092,0.1162159179,-0.085425742,0,,
v000044,-0.069409345,0.4360857382,0.2682200668,-0.099376888,-0.08464703,-0.041884299,-0.257403429,-0.055856058,1,fac2,1
v000045,-0.404016917,-0.460672494,0.2509326717,0.0831143523,-0.1154486,0.2999339361,-0.102863241,0.1437095153,1,fac2,-1
v000046,-0.7164509,-0.152068371,-0.33536154,-0.049713627,-0.113237814,0.169635876,-0.114055489,0.3605181562,1,fac1,-1
v000047,-0.133773837,0.1861027449,0.1104172955,0.0926342033,-0.039825661,-0.052831936,0.1374597485,-0.09391431,0,,
v000048,0.0601846971,0.1547649577,0.4021961498,-0.305325605,-0.406540973,-0.0454334,-0.12406901,0.0436408307,1,fac5,-1
v000049,0.0918597345,0.1530196986,0.3351751437,-0.306894136,-0.373490197,0.1250957518,-0.060921298,0.0445362391,1,fac5,-1
v000050,-0.042620816,0.0420848634,0.5168117041,-0.042151509,-0.057107349,-0.142800978,-0.521764475,-0.048459055,1,fac7,-1
v000051,-0.189018608,-0.021819412,0.0685900763,0.1406171872,0.0259339897,-0.109732602,0.1015175921,0.4861658603,1,fac8,1
v000052,0.5526438,-0.061534474,0.3828084704,0.1758282878,-0.351730759,-0.480272416,0.3702095465,0.1967528163,1,fac1,1
v000053,0.0106541928,0.3676331485,0.0513049421,-0.01438692,-0.403924867,-0.039375898,-0.008163196,-0.065105712,1,fac5,-1
v000054,-0.52436691,-0.020689457,-0.226755072,0.178239939,0.1325658929,0.0685104407,-0.50997895,-0.031948346,1,fac1,-1
