Effect	prompt	N	Mean fac3	SD fac3
prompt	es	426	0.65023474	0.96391967
prompt	mg	834	0.73980815	1.14628602
prompt	rj	432	1.12037037	1.39749589
prompt	sp	555	0.55135135	0.86371551
