Effect	prompt	N	Mean fac1	SD fac1
prompt	es	426	-0.64788732	1.31344459
prompt	mg	834	-1.43045564	1.41610800
prompt	rj	432	-1.49537037	1.43213917
prompt	sp	555	-1.07207207	1.25539782
