Effect	prompt	N	Mean fac8	SD fac8
prompt	es	426	0.13145540	0.54154137
prompt	mg	834	0.06714628	0.53254221
prompt	rj	432	0.09490741	0.55154034
prompt	sp	555	-0.00180180	0.46346326
