Dependent	Source	DF	SS	MS	FValue	ProbF
fac3	Model	3	85.486232	28.495411	23.29	<.0001
fac3	Error	2243	2744.450573	1.223562	_	_
fac3	Corrected Total	2246	2829.936805	_	_	_
