Effect	prompt	N	Mean fac5	SD fac5
prompt	es	426	-2.39201878	2.35223691
prompt	mg	834	-2.13309353	1.79308617
prompt	rj	432	-1.91666667	1.86741505
prompt	sp	555	-2.24864865	1.72143342
