Effect	prompt	N	Mean fac4	SD fac4
prompt	es	426	0.27934272	1.02183021
prompt	mg	834	0.35131894	1.15853923
prompt	rj	432	0.08564815	0.78830050
prompt	sp	555	0.41081081	1.01641326
