Strata	Text Count	Word Count
human	2271	462591

none	2271	462591

es	435	81729
mg	841	180957
rj	433	92481
sp	562	107424

# Source/Model breakdown
human/none	2271	462591

unknown	2271	462591

overall	2271	462591
