lemma target_count comparison_count target_per_1k comparison_per_1k expected LL %DIFF status
distrito 16 9 155.34 2.24 0.63 85.77 194.3 POSKW
s.p. 6 1 58.25 0.25 0.18 38.55 198.29 POSKW
federal 17 125 165.05 31.18 3.56 27.65 136.44 POSKW
histórico-crítica 4 2 38.83 0.5 0.15 21.96 194.93 POSKW
revisitação 4 2 38.83 0.5 0.15 21.96 194.93 POSKW
oferta 41 735 398.06 183.34 19.44 18.7 73.86 POSKW
histórico-cultural 9 53 87.38 13.22 1.55 17.69 147.43 POSKW
iminente 4 5 38.83 1.25 0.23 17.38 187.55 POSKW
transversal 24 361 233.01 90.05 9.64 15.61 88.51 POSKW
humanidade 27 448 262.14 111.75 11.9 14.54 80.45 POSKW
edição 10 86 97.09 21.45 2.4 13.95 127.61 POSKW
transversalidade 10 97 97.09 24.2 2.68 12.22 120.2 POSKW
ferreiro 5 23 48.54 5.74 0.7 11.76 157.72 POSKW
semestre 9 87 87.38 21.7 2.4 11.04 120.42 POSKW
sustentabilidade 22 384 213.59 95.78 10.17 10.65 76.16 POSKW
cuidadoso 6 41 58.25 10.23 1.18 10.42 140.26 POSKW
cientista 7 58 67.96 14.47 1.63 10.14 129.79 POSKW
narração 4 17 38.83 4.24 0.53 9.91 160.62 POSKW
educativo 56 1380 543.69 344.23 35.97 9.81 44.93 POSKW
releitura 5 30 48.54 7.48 0.88 9.68 146.57 POSKW
sensorial 10 119 97.09 29.68 3.23 9.43 106.34 POSKW
vivenciem 6 47 58.25 11.72 1.33 9.19 132.98 POSKW
restringir 12 166 116.5 41.41 4.46 9.01 95.11 POSKW
jesuíta 4 20 38.83 4.99 0.6 8.88 154.47 POSKW
carreira 8 85 77.67 21.2 2.33 8.76 114.22 POSKW
crise 7 67 67.96 16.71 1.85 8.69 121.05 POSKW
inédito 4 22 38.83 5.49 0.65 8.29 150.48 POSKW
descanso 4 22 38.83 5.49 0.65 8.29 150.48 POSKW
eixo 39 922 378.64 229.98 24.07 8.02 48.85 POSKW
intencionalidade 19 355 184.47 88.55 9.37 7.86 70.26 POSKW
