lemma target_count comparison_count target_per_1k comparison_per_1k expected LL %DIFF status
amazona 31 4 209.46 1.01 1.26 181.53 198.08 POSKW
amazonas 31 10 209.46 2.52 1.48 161.3 195.24 POSKW
bebê 46 227 310.81 57.27 9.83 74.88 137.77 POSKW
professora/professor 17 19 114.86 4.79 1.3 64.63 183.98 POSKW
pré-escola 33 150 222.97 37.84 6.59 57.7 141.97 POSKW
manaus 11 4 74.32 1.01 0.54 56.03 194.64 POSKW
n.º 16 23 108.11 5.8 1.4 55.27 179.63 POSKW
creche 31 147 209.46 37.08 6.41 52.27 139.83 POSKW
detalhamento 19 58 128.38 14.63 2.77 44.54 159.08 POSKW
referencial 60 682 405.41 172.05 26.71 32.12 80.82 POSKW
rotina 28 200 189.19 50.45 8.21 30.98 115.78 POSKW
diário 30 233 202.7 58.78 9.47 29.85 110.08 POSKW
rca 6 4 40.54 1.01 0.36 26.73 190.29 POSKW
pedagogo 9 20 60.81 5.05 1.04 25.38 169.36 POSKW
limpeza 9 20 60.81 5.05 1.04 25.38 169.36 POSKW
refeição 8 18 54.05 4.54 0.94 22.41 169.0 POSKW
dcn 13 66 87.84 16.65 2.84 20.62 136.26 POSKW
criança 80 1242 540.54 313.32 47.58 19.13 53.22 POSKW
tampo 5 6 33.78 1.51 0.4 18.53 182.85 POSKW
boca 5 6 33.78 1.51 0.4 18.53 182.85 POSKW
colaborador 11 55 74.32 13.87 2.38 17.7 137.07 POSKW
dcnei 17 128 114.86 32.29 5.22 17.61 112.23 POSKW
ldben 16 115 108.11 29.01 4.71 17.57 115.37 POSKW
vigilância 6 13 40.54 3.28 0.68 17.15 170.06 POSKW
higiene 13 85 87.84 21.44 3.53 15.95 121.51 POSKW
chão 10 51 67.57 12.87 2.2 15.8 136.02 POSKW
cartão 5 9 33.78 2.27 0.5 15.66 174.81 POSKW
tipologia 7 24 47.3 6.05 1.12 15.18 154.61 POSKW
plástico 14 106 94.59 26.74 4.32 14.4 111.85 POSKW
garantia 36 469 243.24 118.31 18.18 14.22 69.11 POSKW
redator 12 81 81.08 20.43 3.35 14.2 119.48 POSKW
amazônico 12 82 81.08 20.69 3.38 14.0 118.69 POSKW
cuidado 37 492 250.0 124.12 19.04 13.88 67.3 POSKW
contar 27 314 182.43 79.21 12.27 13.79 78.9 POSKW
fralda 6 19 40.54 4.79 0.9 13.73 157.71 POSKW
