lemma target_count comparison_count target_per_1k comparison_per_1k expected LL %DIFF status
paraná 75 9 421.35 2.29 3.64 414.57 197.84 POSKW
encaminhamento 44 75 247.19 19.06 5.15 126.15 171.36 POSKW
ifa 21 5 117.98 1.27 1.13 106.86 195.74 POSKW
arnau 19 15 106.74 3.81 1.47 73.98 186.2 POSKW
zabala 20 36 112.36 9.15 2.42 55.78 169.88 POSKW
teórico-metodológico 28 114 157.3 28.98 6.15 44.92 137.78 POSKW
método 59 453 331.46 115.15 22.16 44.7 96.87 POSKW
conceitual 56 432 314.61 109.81 21.12 42.11 96.51 POSKW
ensino-aprendizagem 55 441 308.99 112.1 21.47 38.84 93.51 POSKW
contextualizada 41 271 230.34 68.89 13.51 38.68 107.91 POSKW
teoria 61 522 342.7 132.69 25.24 38.49 88.35 POSKW
influência 39 252 219.1 64.06 12.6 37.93 109.51 POSKW
problematização 36 219 202.25 55.67 11.04 37.84 113.66 POSKW
fundamento 53 424 297.75 107.78 20.65 37.57 93.69 POSKW
historicamente 57 477 320.22 121.25 23.12 37.42 90.14 POSKW
médio 134 1642 752.81 417.39 76.88 36.6 57.33 POSKW
metodológico 65 597 365.17 151.75 28.66 35.91 82.57 POSKW
contextualização 55 471 308.99 119.73 22.77 34.66 88.29 POSKW
tempos-espaço 7 2 39.33 0.51 0.39 34.6 194.89 POSKW
coesão 15 38 84.27 9.66 2.29 34.41 158.87 POSKW
digital 85 901 477.53 229.03 42.68 34.4 70.34 POSKW
deliberação 13 26 73.03 6.61 1.69 34.29 166.81 POSKW
influenciar 40 285 224.72 72.45 14.07 33.96 102.48 POSKW
ifas 8 5 44.94 1.27 0.56 33.36 189.0 POSKW
demarcador 6 1 33.71 0.25 0.3 32.03 197.01 POSKW
biopsicológico 6 1 33.71 0.25 0.3 32.03 197.01 POSKW
lutas/arte 6 1 33.71 0.25 0.3 32.03 197.01 POSKW
marcial 8 6 44.94 1.53 0.61 31.65 186.87 POSKW
tempo-espaço 8 6 44.94 1.53 0.61 31.65 186.87 POSKW
n.º 12 27 67.42 6.86 1.69 29.6 163.04 POSKW
reelaboração 17 64 95.51 16.27 3.51 29.19 141.78 POSKW
esportivização 7 5 39.33 1.27 0.52 28.1 187.48 POSKW
computação 10 18 56.18 4.58 1.21 27.89 169.88 POSKW
dayrell 11 24 61.8 6.1 1.52 27.63 164.06 POSKW
tecnologia 109 1370 612.36 348.25 64.02 27.49 54.99 POSKW
tecnologias 53 505 297.75 128.37 24.15 27.19 79.5 POSKW
abordagem 85 993 477.53 252.41 46.66 26.72 61.68 POSKW
tdic 19 92 106.74 23.39 4.8 25.84 128.11 POSKW
inerente 38 315 213.48 80.07 15.28 25.36 90.89 POSKW
brasil 133 1812 747.19 460.6 84.2 25.3 47.46 POSKW
contemporâneo 87 1048 488.76 266.4 49.13 25.02 58.89 POSKW
neira 10 22 56.18 5.59 1.39 25.0 163.79 POSKW
ciência 95 1187 533.71 301.73 55.5 24.42 55.53 POSKW
sistematizar 44 407 247.19 103.46 19.52 23.97 81.98 POSKW
problema 99 1264 556.18 321.3 59.0 23.72 53.53 POSKW
teórico 53 539 297.75 137.01 25.63 23.62 73.94 POSKW
análise 96 1216 539.33 309.1 56.79 23.61 54.27 POSKW
somativo 11 32 61.8 8.13 1.86 23.01 153.47 POSKW
complexo 73 852 410.11 216.57 40.04 23.01 61.77 POSKW
desinformação 6 5 33.71 1.27 0.48 22.96 185.47 POSKW
li 7 9 39.33 2.29 0.69 22.82 178.01 POSKW
estudioso 12 41 67.42 10.42 2.29 22.29 146.44 POSKW
compreensão 123 1698 691.01 431.62 78.83 22.24 46.21 POSKW
autor 48 480 269.66 122.01 22.86 22.22 75.39 POSKW
crítico 121 1664 679.78 422.98 77.27 22.2 46.57 POSKW
orientador 30 236 168.54 59.99 11.51 21.86 95.0 POSKW
discursivo 27 199 151.69 50.58 9.78 21.79 99.97 POSKW
vídeo 26 187 146.07 47.53 9.22 21.77 101.79 POSKW
articulação 79 969 443.82 246.31 45.37 21.51 57.24 POSKW
atingir 37 332 207.87 84.39 15.97 21.38 84.5 POSKW
científico 102 1361 573.03 345.96 63.33 20.97 49.42 POSKW
consequência 32 269 179.78 68.38 13.03 20.84 89.78 POSKW
diante 72 866 404.49 220.13 40.6 20.8 59.03 POSKW
salientar 34 296 191.01 75.24 14.29 20.79 86.96 POSKW
desigualdade 39 365 219.1 92.78 17.49 20.75 81.01 POSKW
obra 33 285 185.39 72.45 13.77 20.48 87.61 POSKW
charge 8 17 44.94 4.32 1.08 20.4 164.91 POSKW
discussão 73 890 410.11 226.23 41.69 20.25 57.79 POSKW
transformação 90 1172 505.62 297.92 54.63 20.17 51.7 POSKW
pensamento 87 1123 488.76 285.46 52.38 20.09 52.52 POSKW
alinhar 45 458 252.81 116.42 21.77 20.02 73.88 POSKW
fenômeno 73 897 410.11 228.01 41.99 19.77 57.07 POSKW
trajetória 45 462 252.81 117.44 21.95 19.63 73.12 POSKW
fundamentar 57 645 320.22 163.96 30.39 19.55 64.55 POSKW
analítico 19 118 106.74 29.99 5.93 19.45 112.25 POSKW
conteúdo 101 1374 567.42 349.26 63.85 19.32 47.6 POSKW
apreensão 21 142 117.98 36.1 7.06 19.21 106.29 POSKW
atuação 64 761 359.55 193.44 35.71 19.12 60.08 POSKW
intencionalidade 36 338 202.25 85.92 16.19 19.04 80.74 POSKW
intenção 33 297 185.39 75.5 14.29 18.96 84.25 POSKW
interpretação 48 515 269.66 130.91 24.37 18.86 69.28 POSKW
determinado 38 368 213.48 93.54 17.57 18.85 78.13 POSKW
atribuição 18 111 101.12 28.22 5.58 18.6 112.74 POSKW
solução 62 737 348.31 187.34 34.59 18.54 60.1 POSKW
histórico 105 1464 589.89 372.14 67.92 18.25 45.27 POSKW
visar 89 1189 500.0 302.24 55.32 18.21 49.3 POSKW
superação 37 360 207.87 91.51 17.19 18.17 77.73 POSKW
tomada 35 332 196.63 84.39 15.89 18.12 79.88 POSKW
conceito 104 1450 584.27 368.58 67.27 18.08 45.27 POSKW
argumentação 32 291 179.78 73.97 13.98 18.03 83.39 POSKW
