lemma target_count comparison_count target_per_1k comparison_per_1k expected LL %DIFF status
estilização 7 14 48.28 3.53 0.74 21.1 172.75 POSKW
modalização 5 6 34.48 1.51 0.39 18.72 183.19 POSKW
flexível 30 325 206.9 81.93 12.52 18.39 86.54 POSKW
diretoria 7 26 48.28 6.55 1.16 14.59 152.19 POSKW
itinerário 43 617 296.55 155.53 23.27 13.96 62.39 POSKW
prender 6 19 41.38 4.79 0.88 13.95 158.5 POSKW
destinar 27 324 186.21 81.67 12.38 13.51 78.04 POSKW
paródia 6 20 41.38 5.04 0.92 13.48 156.56 POSKW
trilha 20 206 137.93 51.93 7.97 13.42 90.6 POSKW
cronograma 7 31 48.28 7.81 1.34 12.75 144.27 POSKW
certificação 10 66 68.97 16.64 2.68 12.45 122.26 POSKW
câmera 5 15 34.48 3.78 0.71 12.03 160.47 POSKW
perfil 26 325 179.31 81.93 12.38 11.91 74.56 POSKW
reportagem 8 45 55.17 11.34 1.87 11.77 131.78 POSKW
eletivo 18 193 124.14 48.65 7.44 11.24 87.37 POSKW
imprimir 13 115 89.66 28.99 4.51 11.13 102.27 POSKW
ortografia 6 27 41.38 6.81 1.16 10.78 143.5 POSKW
minuto 6 28 41.38 7.06 1.2 10.46 141.71 POSKW
movimentação 7 39 48.28 9.83 1.62 10.39 132.32 POSKW
secretário 8 52 55.17 13.11 2.12 10.13 123.21 POSKW
caderno 11 93 75.86 23.44 3.67 10.05 105.57 POSKW
hipertexto 5 20 34.48 5.04 0.88 9.87 148.98 POSKW
reforma 18 207 124.14 52.18 7.93 9.83 81.62 POSKW
ofertar 31 451 213.79 113.69 17.0 9.68 61.14 POSKW
semioses 10 82 68.97 20.67 3.24 9.53 107.76 POSKW
oração 5 21 34.48 5.29 0.92 9.5 146.77 POSKW
atender 57 1001 393.1 252.33 37.31 9.32 43.62 POSKW
carga 27 385 186.21 97.05 14.53 8.92 62.95 POSKW
técnico 46 775 317.24 195.36 28.95 8.87 47.55 POSKW
multissemiótico 14 149 96.55 37.56 5.75 8.86 87.97 POSKW
sintático 5 23 34.48 5.8 0.99 8.82 142.43 POSKW
escuta 28 407 193.1 102.6 15.34 8.76 61.22 POSKW
disposto 17 203 117.24 51.17 7.76 8.6 78.46 POSKW
equipe 28 413 193.1 104.11 15.55 8.4 59.89 POSKW
foco 44 747 303.45 188.3 27.89 8.24 46.83 POSKW
catálogo 10 92 68.97 23.19 3.6 8.07 99.34 POSKW
especificação 6 37 41.38 9.33 1.52 8.04 126.42 POSKW
gestualidade 5 26 34.48 6.55 1.09 7.92 136.12 POSKW
articulado 10 95 68.97 23.95 3.7 7.68 96.9 POSKW
infográfico 7 52 48.28 13.11 2.08 7.59 114.58 POSKW
artístico-literário 8 66 55.17 16.64 2.61 7.56 107.33 POSKW
profissional 69 1322 475.86 333.25 49.05 7.49 35.25 POSKW
horário 29 450 200.0 113.44 16.89 7.45 55.24 POSKW
recepção 10 98 68.97 24.7 3.81 7.3 94.51 POSKW
álbum 5 29 34.48 7.31 1.2 7.14 130.03 POSKW
entonação 5 29 34.48 7.31 1.2 7.14 130.03 POSKW
habilitação 10 101 68.97 25.46 3.91 6.94 92.15 POSKW
autoridade 5 31 34.48 7.81 1.27 6.66 126.1 POSKW
indireto 5 31 34.48 7.81 1.27 6.66 126.1 POSKW
cercar 9 88 62.07 22.18 3.42 6.59 94.68 POSKW
trinta 5 32 34.48 8.07 1.3 6.44 124.17 POSKW
leitura/escuta 6 45 41.38 11.34 1.8 6.42 113.94 POSKW
diploma 6 48 41.38 12.1 1.9 5.91 109.5 POSKW
multiculturalidade 5 35 34.48 8.82 1.41 5.82 118.51 POSKW
documentário 6 49 41.38 12.35 1.94 5.75 108.05 POSKW
oportunizar 17 241 117.24 60.75 9.1 5.71 63.47 POSKW
reestruturação 7 64 48.28 16.13 2.5 5.7 99.81 POSKW
escolha 49 928 337.93 233.93 34.45 5.65 36.37 POSKW
pontuação 6 50 41.38 12.6 1.97 5.59 106.61 POSKW
