lemma target_count comparison_count target_per_1k comparison_per_1k expected LL %DIFF status
goiás 83 5 553.33 1.26 3.21 511.61 199.09 POSKW
goiano 41 1 273.33 0.25 1.53 262.13 199.63 POSKW
o/a 53 73 353.33 18.43 4.6 184.91 180.18 POSKW
dos/as 50 80 333.33 20.19 4.74 163.82 177.15 POSKW
do/a 43 52 286.67 13.12 3.47 157.77 182.49 POSKW
os/as 51 93 340.0 23.47 5.25 157.44 174.17 POSKW
ao/à 25 10 166.67 2.52 1.28 124.42 194.03 POSKW
aos/às 29 28 193.33 7.07 2.08 115.12 185.89 POSKW
professores/as 29 51 193.33 12.87 2.92 91.06 175.03 POSKW
professor/a 28 56 186.67 14.13 3.06 82.65 171.84 POSKW
todos/as 17 11 113.33 2.78 1.02 75.87 190.44 POSKW
pelos/as 17 15 113.33 3.79 1.17 69.45 187.07 POSKW
bncc/em 8 1 53.33 0.25 0.33 46.77 198.12 POSKW
go 10 6 66.67 1.51 0.58 45.5 191.12 POSKW
quadro 65 636 433.33 160.52 25.57 44.77 91.88 POSKW
goiânia 7 1 46.67 0.25 0.29 40.4 197.85 POSKW
cidadãos/ãs 7 1 46.67 0.25 0.29 40.4 197.85 POSKW
inserido/a 7 1 46.67 0.25 0.29 40.4 197.85 POSKW
educador/a 9 6 60.0 1.51 0.55 39.85 190.15 POSKW
gradação 11 16 73.33 4.04 0.98 37.53 179.12 POSKW
pv 9 9 60.0 2.27 0.66 35.31 185.41 POSKW
um/a 8 7 53.33 1.77 0.55 32.77 187.17 POSKW
nossos/as 8 7 53.33 1.77 0.55 32.77 187.17 POSKW
seus/suas 8 8 53.33 2.02 0.58 31.39 185.41 POSKW
pelo/a 11 24 73.33 6.06 1.28 31.05 169.48 POSKW
gestores/as 6 2 40.0 0.5 0.29 30.88 195.01 POSKW
tdics 10 20 66.67 5.05 1.09 29.52 171.84 POSKW
educadores/as 8 10 53.33 2.52 0.66 28.99 181.93 POSKW
adultos/as 5 1 33.33 0.25 0.22 27.78 196.99 POSKW
gerúndio 5 1 33.33 0.25 0.22 27.78 196.99 POSKW
integração 60 736 400.0 185.76 29.04 26.43 73.15 POSKW
sigla 11 33 73.33 8.33 1.61 25.81 159.2 POSKW
