lemma target_count comparison_count target_per_1k comparison_per_1k expected LL %DIFF status
adolescente 33 401 323.53 100.0 10.77 30.65 105.56 POSKW
mato 8 24 78.43 5.99 0.79 24.36 171.64 POSKW
racismo 13 85 127.45 21.2 2.43 23.67 142.96 POSKW
sul 9 36 88.24 8.98 1.12 23.31 163.06 POSKW
grosso 9 40 88.24 9.98 1.22 21.81 159.37 POSKW
deliberação 8 31 78.43 7.73 0.97 21.12 164.11 POSKW
lousa 5 7 49.02 1.75 0.3 21.02 186.25 POSKW
horas-aula 5 7 49.02 1.75 0.3 21.02 186.25 POSKW
catálogo 12 90 117.65 22.44 2.53 19.35 135.92 POSKW
intimidação 4 4 39.22 1.0 0.2 18.68 190.08 POSKW
artigo 33 564 323.53 140.65 14.81 17.08 78.8 POSKW
eugenia 4 6 39.22 1.5 0.25 16.41 185.3 POSKW
metódico 4 9 39.22 2.24 0.32 13.98 178.35 POSKW
seriação 6 30 58.82 7.48 0.89 13.43 154.87 POSKW
comprometido 6 31 58.82 7.73 0.92 13.12 153.54 POSKW
bioético 4 11 39.22 2.74 0.37 12.73 173.85 POSKW
sexismo 4 12 39.22 2.99 0.4 12.18 171.64 POSKW
carga 23 389 225.49 97.01 10.22 12.16 79.68 POSKW
socioemocional 23 390 225.49 97.26 10.24 12.1 79.46 POSKW
fragmentação 13 158 127.45 39.4 4.24 12.07 105.54 POSKW
oitocentas 5 23 49.02 5.74 0.69 11.85 158.1 POSKW
dívida 4 13 39.22 3.24 0.42 11.68 169.46 POSKW
hábil 4 13 39.22 3.24 0.42 11.68 169.46 POSKW
prédio 5 24 49.02 5.99 0.72 11.51 156.48 POSKW
horário 25 454 245.1 113.22 11.88 11.33 73.61 POSKW
quatrocentas 4 14 39.22 3.49 0.45 11.21 167.3 POSKW
ético-político 4 15 39.22 3.74 0.47 10.77 165.17 POSKW
correlacionar 8 72 78.43 17.96 1.98 10.75 125.49 POSKW
memes 4 16 39.22 3.99 0.5 10.36 163.06 POSKW
publicar 12 154 117.65 38.4 4.12 10.3 101.56 POSKW
cópia 5 28 49.02 6.98 0.82 10.3 150.13 POSKW
aprendiz 12 155 117.65 38.65 4.14 10.2 101.08 POSKW
prevenção 8 76 78.43 18.95 2.08 10.13 122.15 POSKW
responsabilizar 5 29 49.02 7.23 0.84 10.03 148.57 POSKW
transversalidade 9 98 88.24 24.44 2.65 9.68 113.24 POSKW
controvérsia 4 18 39.22 4.49 0.55 9.62 158.92 POSKW
discriminação 17 280 166.67 69.83 7.37 9.49 81.9 POSKW
diretriz 48 1162 470.59 289.78 30.01 9.38 47.56 POSKW
privar 6 47 58.82 11.72 1.31 9.29 133.54 POSKW
homofobia 4 19 39.22 4.74 0.57 9.27 156.88 POSKW
alma 4 20 39.22 4.99 0.6 8.95 154.87 POSKW
subsídio 11 147 107.84 36.66 3.92 8.87 98.52 POSKW
porta 5 34 49.02 8.48 0.97 8.8 141.02 POSKW
(re)construção 6 52 58.82 12.97 1.44 8.39 127.75 POSKW
parágrafo 11 153 107.84 38.15 4.07 8.32 95.47 POSKW
descrição 13 201 127.45 50.12 5.31 8.19 87.09 POSKW
dentrar 35 806 343.14 201.0 20.86 8.19 52.24 POSKW
mister 4 23 39.22 5.74 0.67 8.08 148.96 POSKW
