lemma target_count comparison_count target_per_1k comparison_per_1k expected LL %DIFF status
formular 5 362 33.56 91.34 13.3 7.01 -92.53 NEGKW
estudante 80 2832 536.91 714.61 105.52 6.97 -28.4 NEGKW
educacional 34 1384 228.19 349.23 51.38 6.9 -41.93 NEGKW
básico 57 2117 382.55 534.19 78.78 6.89 -33.08 NEGKW
categoria 6 400 40.27 100.93 14.71 6.85 -85.93 NEGKW
relevância 7 440 46.98 111.03 16.2 6.84 -81.07 NEGKW
área 61 2234 409.4 563.71 83.16 6.73 -31.72 NEGKW
temática 6 397 40.27 100.18 14.6 6.72 -85.31 NEGKW
fortalecimento 5 355 33.56 89.58 13.04 6.69 -90.99 NEGKW
complexo 20 905 134.23 228.36 33.52 6.59 -51.92 NEGKW
compromisso 10 548 67.11 138.28 20.22 6.55 -69.3 NEGKW
horário 8 471 53.69 118.85 17.36 6.51 -75.53 NEGKW
importante 56 2065 375.84 521.07 76.86 6.47 -32.38 NEGKW
levar 33 1330 221.48 335.6 49.39 6.37 -40.97 NEGKW
modelo 17 793 114.09 200.1 29.35 6.33 -54.75 NEGKW
compreensão 47 1774 315.44 447.64 65.98 6.28 -34.65 NEGKW
socioambiental 7 426 46.98 107.49 15.69 6.26 -78.35 NEGKW
representar 18 824 120.81 207.92 30.51 6.22 -53.0 NEGKW
habilidade 65 2325 436.24 586.68 86.6 6.1 -29.41 NEGKW
realidade 50 1857 335.57 468.58 69.1 6.05 -33.08 NEGKW
geral 39 1509 261.74 380.77 56.09 6.03 -37.05 NEGKW
escola 71 2503 476.51 631.59 93.27 6.0 -27.99 NEGKW
justo 7 418 46.98 105.48 15.4 5.93 -76.74 NEGKW
grande 47 1756 315.44 443.1 65.33 5.9 -33.66 NEGKW
alto 7 417 46.98 105.22 15.36 5.89 -76.53 NEGKW
educador 10 528 67.11 133.23 19.49 5.81 -66.0 NEGKW
mídia 11 563 73.83 142.06 20.8 5.76 -63.22 NEGKW
colaborar 6 374 40.27 94.37 13.77 5.73 -80.37 NEGKW
resolver 14 668 93.96 168.56 24.71 5.69 -56.83 NEGKW
lado 6 373 40.27 94.12 13.73 5.69 -80.14 NEGKW
alcançar 12 596 80.54 150.39 22.03 5.65 -60.5 NEGKW
indicar 12 593 80.54 149.63 21.92 5.55 -60.04 NEGKW
ponto 31 1229 208.05 310.12 45.66 5.49 -39.39 NEGKW
qualidade 27 1099 181.21 277.32 40.8 5.48 -41.92 NEGKW
ordem 6 367 40.27 92.61 13.52 5.44 -78.78 NEGKW
mudança 28 1126 187.92 284.13 41.82 5.34 -40.76 NEGKW
consciente 12 586 80.54 147.87 21.67 5.32 -58.96 NEGKW
cognitivo 25 1026 167.79 258.89 38.08 5.29 -42.71 NEGKW
tratar 31 1220 208.05 307.85 45.33 5.27 -38.69 NEGKW
percepção 14 655 93.96 165.28 24.24 5.27 -55.02 NEGKW
dizer 25 1025 167.79 258.64 38.05 5.26 -42.61 NEGKW
identificação 8 437 53.69 110.27 16.12 5.19 -69.01 NEGKW
dentrar 19 822 127.52 207.42 30.47 5.16 -47.71 NEGKW
ofertar 9 473 60.4 119.35 17.47 5.15 -65.59 NEGKW
momento 28 1118 187.92 282.11 41.53 5.15 -40.08 NEGKW
tornar 41 1531 275.17 386.32 56.96 5.13 -33.61 NEGKW
interdisciplinaridade 6 358 40.27 90.34 13.19 5.07 -76.67 NEGKW
inserir 26 1050 174.5 264.95 38.99 5.07 -41.17 NEGKW
tratamento 5 318 33.56 80.24 11.7 5.05 -82.05 NEGKW
itinerário 14 646 93.96 163.01 23.92 4.99 -53.74 NEGKW
cooperação 6 356 40.27 89.83 13.12 4.99 -76.19 NEGKW
aproximar 5 316 33.56 79.74 11.63 4.96 -81.52 NEGKW
ser 58 2048 389.26 516.78 76.31 4.96 -28.15 NEGKW
humanidade 9 466 60.4 117.59 17.21 4.9 -64.26 NEGKW
flexibilidade 7 392 46.98 98.91 14.46 4.9 -71.2 NEGKW
estruturante 11 537 73.83 135.5 19.86 4.87 -58.93 NEGKW
ligar 10 500 67.11 126.17 18.48 4.82 -61.11 NEGKW
referência 26 1039 174.5 262.18 38.59 4.8 -40.16 NEGKW
permitir 46 1670 308.72 421.4 62.18 4.79 -30.86 NEGKW
conceito 41 1513 275.17 381.78 56.31 4.76 -32.46 NEGKW
ensino 99 3263 664.43 823.37 121.82 4.73 -21.37 NEGKW
presente 40 1480 268.46 373.45 55.08 4.72 -32.71 NEGKW
escolher 8 423 53.69 106.74 15.62 4.67 -66.13 NEGKW
competência 63 2181 422.82 550.34 81.31 4.63 -26.21 NEGKW
capaz 29 1128 194.63 284.63 41.92 4.62 -37.56 NEGKW
recurso 29 1128 194.63 284.63 41.92 4.62 -37.56 NEGKW
ambiental 17 735 114.09 185.47 27.25 4.6 -47.65 NEGKW
público 34 1286 228.19 324.5 47.83 4.6 -34.85 NEGKW
chegar 6 346 40.27 87.31 12.75 4.59 -73.74 NEGKW
estadual 11 528 73.83 133.23 19.53 4.57 -57.38 NEGKW
autonomia 41 1503 275.17 379.26 55.95 4.56 -31.81 NEGKW
problematizar 6 345 40.27 87.06 12.72 4.55 -73.49 NEGKW
significar 16 699 107.38 176.38 25.91 4.54 -48.63 NEGKW
autônomo 11 527 73.83 132.98 19.49 4.54 -57.21 NEGKW
imprescindível 10 491 67.11 123.9 18.15 4.52 -59.45 NEGKW
incorporar 9 455 60.4 114.81 16.81 4.51 -62.11 NEGKW
exigência 5 303 33.56 76.46 11.16 4.42 -77.99 NEGKW
novo 64 2197 429.53 554.38 81.93 4.39 -25.38 NEGKW
defender 11 521 73.83 131.47 19.28 4.34 -56.15 NEGKW
maneira 39 1430 261.74 360.84 53.23 4.34 -31.83 NEGKW
formativo 30 1147 201.34 289.43 42.65 4.33 -35.9 NEGKW
ampliação 27 1051 181.21 265.2 39.06 4.32 -37.63 NEGKW
buscar 44 1582 295.3 399.19 58.92 4.29 -29.92 NEGKW
estrutura 24 951 161.07 239.97 35.33 4.24 -39.35 NEGKW
existir 14 620 93.96 156.45 22.97 4.21 -49.91 NEGKW
agir 16 687 107.38 173.35 25.47 4.2 -47.0 NEGKW
base 61 2093 409.4 528.14 78.05 4.17 -25.33 NEGKW
demonstrar 8 409 53.69 103.2 15.11 4.17 -63.12 NEGKW
leitura 26 1012 174.5 255.36 37.61 4.16 -37.62 NEGKW
docente 24 948 161.07 239.21 35.22 4.16 -39.04 NEGKW
contextualização 11 515 73.83 129.95 19.06 4.15 -55.09 NEGKW
consequência 5 296 33.56 74.69 10.91 4.13 -76.0 NEGKW
estimular 21 849 140.94 214.23 31.52 4.12 -41.27 NEGKW
fenômeno 24 946 161.07 238.71 35.15 4.12 -38.84 NEGKW
contemporâneo 29 1106 194.63 279.08 41.13 4.12 -35.65 NEGKW
responsabilidade 23 913 154.36 230.38 33.92 4.1 -39.52 NEGKW
refletir 30 1135 201.34 286.4 42.21 4.07 -34.88 NEGKW
cenário 11 512 73.83 129.2 18.95 4.06 -54.55 NEGKW
tradicional 11 512 73.83 129.2 18.95 4.06 -54.55 NEGKW
tipo 17 714 114.09 180.17 26.49 4.03 -44.91 NEGKW
metodológico 15 647 100.67 163.26 23.99 4.02 -47.43 NEGKW
pretender 12 545 80.54 137.52 20.18 4.01 -52.27 NEGKW
claro 5 293 33.56 73.93 10.8 4.01 -75.13 NEGKW
objetivo 62 2112 416.11 532.93 78.78 3.99 -24.62 NEGKW
razão 6 330 40.27 83.27 12.18 3.98 -69.62 NEGKW
principal 16 679 107.38 171.33 25.18 3.98 -45.89 NEGKW
contexto 80 2646 536.91 667.68 98.78 3.95 -21.71 NEGKW
busca 21 842 140.94 212.47 31.27 3.95 -40.48 NEGKW
palavra 9 438 60.4 110.52 16.2 3.94 -58.65 NEGKW
sequência 7 362 46.98 91.34 13.37 3.79 -64.15 NOTKW
determinado 8 398 53.69 100.43 14.71 3.79 -60.65 NOTKW
atingir 7 362 46.98 91.34 13.37 3.79 -64.15 NOTKW
fase 10 468 67.11 118.09 17.32 3.77 -55.05 NOTKW
currículo 64 2158 429.53 544.54 80.52 3.77 -23.61 NOTKW
gestual 8 96 53.69 24.22 3.77 3.76 75.64 NOTKW
etapa 48 1673 322.15 422.15 62.36 3.72 -26.87 NOTKW
deixar 7 360 46.98 90.84 13.3 3.72 -63.65 NOTKW
melhoria 9 430 60.4 108.5 15.91 3.67 -56.96 NOTKW
haver 38 1364 255.03 344.18 50.8 3.66 -29.76 NOTKW
termo 10 464 67.11 117.08 17.18 3.65 -54.26 NOTKW
avaliação 49 973 328.86 245.52 37.03 3.65 29.02 NOTKW
século 11 497 73.83 125.41 18.41 3.6 -51.78 NOTKW
consideração 14 598 93.96 150.9 22.18 3.59 -46.51 NOTKW
adaptar 5 282 33.56 71.16 10.4 3.58 -71.82 NOTKW
reforçar 7 355 46.98 89.58 13.12 3.55 -62.39 NOTKW
arranjo 7 354 46.98 89.33 13.08 3.51 -62.13 NOTKW
objeto 80 1705 536.91 430.23 64.68 3.51 22.06 NOTKW
ético 35 1262 234.9 318.45 47.0 3.48 -30.2 NOTKW
análise 35 1261 234.9 318.19 46.96 3.46 -30.12 NOTKW
simples 6 316 40.27 79.74 11.67 3.46 -65.78 NOTKW
instrumento 46 913 308.72 230.38 34.75 3.44 29.06 NOTKW
aplicar 20 788 134.23 198.84 29.28 3.42 -38.8 NOTKW
impacto 9 422 60.4 106.48 15.62 3.42 -55.23 NOTKW
procurar 6 315 40.27 79.49 11.63 3.42 -65.5 NOTKW
vulnerabilidade 5 50 33.56 12.62 1.99 3.36 90.7 NOTKW
dificultar 5 50 33.56 12.62 1.99 3.36 90.7 NOTKW
ganhar 8 385 53.69 97.15 14.24 3.36 -57.62 NOTKW
legislação 25 446 167.79 112.54 17.07 3.36 39.41 NOTKW
lidar 9 420 60.4 105.98 15.54 3.36 -54.79 NOTKW
parte 49 1681 328.86 424.17 62.69 3.35 -25.31 NOTKW
qualificação 6 313 40.27 78.98 11.56 3.35 -64.93 NOTKW
agente 7 349 46.98 88.06 12.9 3.34 -60.85 NOTKW
equidade 7 349 46.98 88.06 12.9 3.34 -60.85 NOTKW
potencial 22 383 147.65 96.64 14.68 3.3 41.76 NOTKW
central 8 383 53.69 96.64 14.17 3.29 -57.14 NOTKW
finalidade 19 750 127.52 189.25 27.87 3.28 -38.98 NOTKW
ferramenta 16 652 107.38 164.52 24.21 3.27 -42.03 NOTKW
crítico 51 1734 342.28 437.55 64.68 3.23 -24.43 NOTKW
caminho 19 747 127.52 188.49 27.76 3.21 -38.59 NOTKW
solução 20 779 134.23 196.57 28.95 3.21 -37.69 NOTKW
opção 5 272 33.56 68.63 10.04 3.2 -68.65 NOTKW
importância 38 1339 255.03 337.88 49.9 3.2 -27.94 NOTKW
implementação 13 550 87.25 138.78 20.4 3.19 -45.6 NOTKW
informativo 6 68 40.27 17.16 2.68 3.18 80.48 NOTKW
correr 6 68 40.27 17.16 2.68 3.18 80.48 NOTKW
ética 9 414 60.4 104.47 15.33 3.17 -53.45 NOTKW
perfil 7 344 46.98 86.8 12.72 3.17 -59.53 NOTKW
configuração 10 141 67.11 35.58 5.47 3.15 61.42 NOTKW
equipamento 12 180 80.54 45.42 6.96 3.14 55.76 NOTKW
serviço 8 378 53.69 95.38 13.99 3.13 -55.93 NOTKW
fazer 81 2614 543.62 659.6 97.65 3.12 -19.28 NOTKW
