lemma target_count comparison_count target_per_1k comparison_per_1k expected LL %DIFF status
problematizar 12 339 176.47 83.83 5.8 5.15 71.18 POSKW
laboratório 7 151 102.94 37.34 2.61 5.15 93.53 POSKW
expansão 8 187 117.65 46.24 3.22 5.11 87.14 POSKW
iniciar 16 508 235.29 125.62 8.67 5.06 60.78 POSKW
soar 3 33 44.12 8.16 0.6 5.06 137.56 POSKW
regionais 4 59 58.82 14.59 1.04 4.99 120.51 POSKW
preceito 5 89 73.53 22.01 1.55 4.92 107.86 POSKW
bloom 3 34 44.12 8.41 0.61 4.92 135.97 POSKW
credenciado 3 34 44.12 8.41 0.61 4.92 135.97 POSKW
inferior 3 34 44.12 8.41 0.61 4.92 135.97 POSKW
centralizar 3 34 44.12 8.41 0.61 4.92 135.97 POSKW
taxonomia 3 34 44.12 8.41 0.61 4.92 135.97 POSKW
carreira 5 89 73.53 22.01 1.55 4.92 107.86 POSKW
tão 11 307 161.76 75.91 5.26 4.86 72.24 POSKW
filosofia 11 308 161.76 76.16 5.28 4.82 71.96 POSKW
voltar 24 875 352.94 216.37 14.87 4.82 47.98 POSKW
virtude 4 61 58.82 15.08 1.07 4.8 118.36 POSKW
abandonar 4 61 58.82 15.08 1.07 4.8 118.36 POSKW
acelerar 3 35 44.12 8.65 0.63 4.79 134.4 POSKW
concomitante 5 91 73.53 22.5 1.59 4.77 106.27 POSKW
disciplina 17 562 250.0 138.97 9.57 4.77 57.09 POSKW
competência 51 2193 750.0 542.28 37.11 4.74 32.15 POSKW
tematizar 5 92 73.53 22.75 1.6 4.7 105.48 POSKW
tecnológica 6 125 88.24 30.91 2.17 4.67 96.23 POSKW
pergunta 10 273 147.06 67.51 4.68 4.65 74.15 POSKW
abrangente 7 160 102.94 39.56 2.76 4.65 88.95 POSKW
democratização 5 93 73.53 23.0 1.62 4.63 104.7 POSKW
guardar 4 63 58.82 15.58 1.11 4.61 116.25 POSKW
estreito 5 94 73.53 23.24 1.64 4.56 103.92 POSKW
caminhada 3 37 44.12 9.15 0.66 4.54 131.29 POSKW
dividir 8 199 117.65 49.21 3.42 4.53 82.03 POSKW
trocar 4 64 58.82 15.83 1.12 4.53 115.2 POSKW
analisar 28 1079 411.76 266.82 18.31 4.5 42.72 POSKW
década 13 401 191.18 99.16 6.85 4.46 63.39 POSKW
detentor 4 65 58.82 16.07 1.14 4.44 114.16 POSKW
unidos 3 38 44.12 9.4 0.68 4.42 129.76 POSKW
anexo 3 38 44.12 9.4 0.68 4.42 129.76 POSKW
desafiador 8 203 117.65 50.2 3.49 4.35 80.37 POSKW
menos 12 363 176.47 89.76 6.2 4.34 65.14 POSKW
científico 35 1428 514.71 353.12 24.19 4.32 37.24 POSKW
trajetória 15 492 220.59 121.66 8.38 4.31 57.81 POSKW
moreira 4 67 58.82 16.57 1.17 4.27 112.1 POSKW
privado 12 365 176.47 90.26 6.23 4.27 64.65 POSKW
tecnológico 27 1045 397.06 258.41 17.73 4.26 42.31 POSKW
@card@ 20 720 294.12 178.04 12.24 4.21 49.17 POSKW
disciplinar 7 169 102.94 41.79 2.91 4.2 84.5 POSKW
inserir 27 1049 397.06 259.4 17.79 4.19 41.94 POSKW
reunir 8 207 117.65 51.19 3.56 4.18 78.73 POSKW
ciências 20 723 294.12 178.78 12.29 4.14 48.78 POSKW
abranger 10 287 147.06 70.97 4.91 4.13 69.8 POSKW
agosto 4 69 58.82 17.06 1.21 4.11 110.06 POSKW
abandono 4 69 58.82 17.06 1.21 4.11 110.06 POSKW
trazer 29 1151 426.47 284.62 19.51 4.08 39.9 POSKW
tecnologia 35 1444 514.71 357.07 24.46 4.08 36.16 POSKW
chamar 11 330 161.76 81.6 5.64 4.06 65.88 POSKW
apud 6 136 88.24 33.63 2.35 4.05 89.62 POSKW
egresso 4 70 58.82 17.31 1.22 4.03 109.06 POSKW
sistemático 10 290 147.06 71.71 4.96 4.03 68.88 POSKW
atrativo 4 70 58.82 17.31 1.22 4.03 109.06 POSKW
concretização 6 137 88.24 33.88 2.36 4.0 89.03 POSKW
antigo 6 137 88.24 33.88 2.36 4.0 89.03 POSKW
raciocínio 12 374 176.47 92.48 6.38 4.0 62.46 POSKW
disponibilidade 6 137 88.24 33.88 2.36 4.0 89.03 POSKW
humanidade 14 461 205.88 114.0 7.86 3.97 57.45 POSKW
escolher 13 418 191.18 103.36 7.13 3.96 59.63 POSKW
complementar 15 509 220.59 125.87 8.67 3.87 54.68 POSKW
moderna 3 43 44.12 10.63 0.76 3.87 122.32 POSKW
eticamente 3 43 44.12 10.63 0.76 3.87 122.32 POSKW
mobilizar 18 645 264.71 159.5 10.96 3.85 49.6 POSKW
atenção 3 565 44.12 139.71 9.39 6.01 -104.0 NEGKW
autor 3 525 44.12 129.82 8.73 5.12 -98.54 NEGKW
integração 6 790 88.24 195.35 13.16 4.96 -75.54 NEGKW
teórico 4 588 58.82 145.4 9.79 4.48 -84.79 NEGKW
permear 3 467 44.12 115.48 7.77 3.88 -89.43 NEGKW
escola 31 2576 455.88 636.99 43.11 3.83 -33.14 NOTKW
brasileiro 24 927 352.94 229.23 15.73 3.82 42.5 NOTKW
nacional 42 1814 617.65 448.57 30.69 3.8 31.72 NOTKW
atendimento 3 462 44.12 114.24 7.69 3.78 -88.56 NOTKW
posto 3 44 44.12 10.88 0.78 3.77 120.87 NOTKW
xviii 3 44 44.12 10.88 0.78 3.77 120.87 NOTKW
efetivamente 8 218 117.65 53.91 3.74 3.73 74.31 NOTKW
programação 4 74 58.82 18.3 1.29 3.73 105.09 NOTKW
ajuste 4 74 58.82 18.3 1.29 3.73 105.09 NOTKW
objetivar 13 428 191.18 105.84 7.29 3.69 57.47 NOTKW
xx 6 143 88.24 35.36 2.46 3.69 85.56 NOTKW
empreendedorismo 8 221 117.65 54.65 3.79 3.62 73.13 NOTKW
cidadania 29 1181 426.47 292.04 20.01 3.61 37.42 NOTKW
agente 11 345 161.76 85.31 5.89 3.6 61.89 NOTKW
trilhar 4 76 58.82 18.79 1.32 3.59 103.15 NOTKW
sustentável 14 477 205.88 117.95 8.12 3.56 54.31 NOTKW
precisão 4 77 58.82 19.04 1.34 3.52 102.19 NOTKW
apoio 3 449 44.12 111.03 7.47 3.52 -86.26 NOTKW
ambiental 20 754 294.12 186.45 12.8 3.52 44.81 NOTKW
paulo 6 147 88.24 36.35 2.53 3.5 83.29 NOTKW
contextualizando 3 47 44.12 11.62 0.83 3.48 116.6 NOTKW
didático 7 785 102.94 194.11 13.1 3.47 -61.38 NOTKW
aperfeiçoamento 6 149 88.24 36.84 2.56 3.41 82.17 NOTKW
qualificação 10 309 147.06 76.41 5.28 3.41 63.23 NOTKW
opção 9 268 132.35 66.27 4.58 3.39 66.54 NOTKW
reflexão 16 1462 235.29 361.52 24.44 3.37 -42.3 NOTKW
livro 11 355 161.76 87.78 6.05 3.32 59.29 NOTKW
laço 4 80 58.82 19.78 1.39 3.32 99.33 NOTKW
unesco 4 81 58.82 20.03 1.41 3.26 98.4 NOTKW
facilitador 4 81 58.82 20.03 1.41 3.26 98.4 NOTKW
poder 15 535 220.59 132.29 9.1 3.26 50.04 NOTKW
consideração 5 607 73.53 150.1 10.12 3.23 -68.48 NOTKW
são 6 153 88.24 37.83 2.63 3.23 79.96 NOTKW
alteração 8 232 117.65 57.37 3.97 3.22 68.88 NOTKW
total 8 232 117.65 57.37 3.97 3.22 68.88 NOTKW
criticidade 8 232 117.65 57.37 3.97 3.22 68.88 NOTKW
adotar 15 538 220.59 133.04 9.14 3.2 49.52 NOTKW
emitir 4 82 58.82 20.28 1.42 3.2 97.46 NOTKW
reconhecimento 8 846 117.65 209.2 14.12 3.2 -56.02 NOTKW
profissão 6 154 88.24 38.08 2.65 3.19 79.41 NOTKW
sistematicamente 3 51 44.12 12.61 0.89 3.14 111.08 NOTKW
incentivo 5 118 73.53 29.18 2.03 3.14 86.36 NOTKW
prosseguir 3 51 44.12 12.61 0.89 3.14 111.08 NOTKW
viabiliza 3 51 44.12 12.61 0.89 3.14 111.08 NOTKW
demarcar 4 83 58.82 20.52 1.44 3.14 96.54 NOTKW
notadamente 3 51 44.12 12.61 0.89 3.14 111.08 NOTKW
historiador 3 51 44.12 12.61 0.89 3.14 111.08 NOTKW
bases 13 451 191.18 111.52 7.67 3.12 52.63 NOTKW
seguinte 19 730 279.41 180.51 12.39 3.09 43.01 NOTKW
