lemma target_count comparison_count target_per_1k comparison_per_1k expected LL %DIFF status
transversaliza 6 1 37.97 0.25 0.27 33.45 197.35 POSKW
selva 5 3 31.65 0.76 0.31 22.24 190.63 POSKW
compartimentação 5 7 31.65 1.77 0.46 16.84 178.81 POSKW
multidimensionalidade 7 19 44.3 4.81 1.0 16.83 160.86 POSKW
concernente 8 32 50.63 8.09 1.54 14.62 144.88 POSKW
constituído 5 10 31.65 2.53 0.58 14.28 170.4 POSKW
recomendável 5 11 31.65 2.78 0.61 13.58 167.68 POSKW
bojo 8 38 50.63 9.61 1.77 12.62 136.19 POSKW
tocante 13 98 82.28 24.79 4.27 12.24 107.4 POSKW
ótica 13 107 82.28 27.06 4.61 10.8 101.0 POSKW
quadrado 5 16 31.65 4.05 0.81 10.79 154.65 POSKW
disponibiliza 6 25 37.97 6.32 1.19 10.61 142.91 POSKW
ensejar 6 28 37.97 7.08 1.31 9.62 137.13 POSKW
volume 13 119 82.28 30.1 5.07 9.12 92.87 POSKW
cristalizar 5 21 31.65 5.31 1.0 8.78 142.52 POSKW
operacionalizar 6 35 37.97 8.85 1.58 7.71 124.39 POSKW
patamar 7 49 44.3 12.39 2.15 7.27 112.57 POSKW
imperativo 8 64 50.63 16.19 2.77 6.93 103.1 POSKW
-se 6 39 37.97 9.86 1.73 6.82 117.53 POSKW
excelência 9 79 56.96 19.98 3.38 6.77 96.13 POSKW
direção 28 406 177.22 102.68 16.68 6.68 53.26 POSKW
direcionamento 9 80 56.96 20.23 3.42 6.63 95.16 POSKW
medição 7 53 44.3 13.4 2.31 6.55 107.09 POSKW
masculino 5 30 31.65 7.59 1.34 6.23 122.64 POSKW
justo 27 398 170.89 100.66 16.33 6.09 51.73 POSKW
prescrever 6 43 37.97 10.88 1.88 6.04 110.95 POSKW
acertar 5 31 31.65 7.84 1.38 6.01 120.58 POSKW
dirigente 8 71 50.63 17.96 3.04 5.91 95.28 POSKW
calculador 6 44 37.97 11.13 1.92 5.86 109.35 POSKW
dignidade 13 151 82.28 38.19 6.3 5.72 73.2 POSKW
estimativa 6 46 37.97 11.63 2.0 5.52 106.2 POSKW
proporcionalidade 6 47 37.97 11.89 2.04 5.36 104.64 POSKW
lócus 7 62 44.3 15.68 2.65 5.19 95.44 POSKW
conseguinte 11 128 69.62 32.37 5.34 4.82 73.04 POSKW
inicial 49 880 310.13 222.56 35.7 4.64 32.88 POSKW
fase 28 450 177.22 113.81 18.37 4.55 43.57 POSKW
construir 101 2019 639.24 510.62 81.46 4.54 22.37 POSKW
cooperar 5 39 31.65 9.86 1.69 4.49 104.95 POSKW
consenso 7 68 44.3 17.2 2.88 4.43 88.15 POSKW
solidário 25 396 158.23 100.15 16.18 4.31 44.95 POSKW
inclusivo 35 600 221.52 151.75 24.4 4.24 37.39 POSKW
epistemologia 7 70 44.3 17.7 2.96 4.2 85.8 POSKW
encarar 6 55 37.97 13.91 2.34 4.2 92.76 POSKW
grandeza 11 136 69.62 34.4 5.65 4.17 67.73 POSKW
postura 29 480 183.54 121.4 19.56 4.15 40.76 POSKW
defender 30 502 189.87 126.96 20.44 4.08 39.71 POSKW
respeitoso 10 120 63.29 30.35 5.0 4.08 70.36 POSKW
deslocar 6 56 37.97 14.16 2.38 4.07 91.34 POSKW
obstáculo 7 72 44.3 18.21 3.04 3.98 83.48 POSKW
parâmetro 27 444 170.89 112.29 18.1 3.97 41.38 POSKW
recorrente 6 57 37.97 14.42 2.42 3.95 89.94 POSKW
crítico-reflexivo 5 43 31.65 10.88 1.84 3.88 97.7 POSKW
termos 11 140 69.62 35.41 5.8 3.87 65.15 POSKW
aluno 11 1216 69.62 307.54 47.15 41.37 -126.16 NEGKW
acordo 22 1400 139.24 354.07 54.64 26.02 -87.1 NEGKW
território 12 937 75.95 236.98 36.46 22.9 -102.92 NEGKW
docente 13 959 82.28 242.54 37.35 21.89 -98.68 NEGKW
artigo 5 592 31.65 149.72 22.94 21.2 -130.21 NEGKW
quadro 7 639 44.3 161.61 24.82 18.43 -113.94 NEGKW
ocorrer 19 1100 120.25 278.2 43.0 17.49 -79.28 NEGKW
possibilidade 44 1937 278.48 489.88 76.12 16.54 -55.03 NEGKW
indígena 9 688 56.96 174.0 26.78 16.4 -101.35 NEGKW
oferta 11 765 69.62 193.47 29.82 16.17 -94.15 NEGKW
vincular 5 498 31.65 125.95 19.33 15.55 -119.68 NEGKW
educador 6 532 37.97 134.55 20.67 14.91 -111.95 NEGKW
avaliação 18 1004 113.92 253.92 39.27 14.91 -76.12 NEGKW
possuir 14 832 88.61 210.42 32.51 13.84 -81.47 NEGKW
ativo 14 829 88.61 209.66 32.39 13.71 -81.17 NEGKW
legislação 5 466 31.65 117.86 18.1 13.71 -115.33 NEGKW
característica 21 1065 132.91 269.35 41.73 13.03 -67.83 NEGKW
aprendizado 9 620 56.96 156.8 24.17 12.93 -93.41 NEGKW
grupo 33 1460 208.86 369.25 57.37 12.65 -55.49 NEGKW
proposta 45 1844 284.81 466.36 72.58 12.56 -48.34 NEGKW
planejamento 21 1040 132.91 263.02 40.77 12.05 -65.72 NEGKW
possível 28 1274 177.22 322.21 50.03 11.94 -58.06 NEGKW
melhoria 5 434 31.65 109.76 16.87 11.91 -110.48 NEGKW
meio 76 2772 481.01 701.06 109.43 11.86 -37.23 NEGKW
metodologia 16 850 101.27 214.97 33.28 11.48 -71.91 NEGKW
conjunto 30 1326 189.87 335.36 52.1 11.46 -55.4 NEGKW
definição 10 627 63.29 158.57 24.48 11.39 -85.89 NEGKW
incluir 23 1087 145.57 274.91 42.65 11.25 -61.52 NEGKW
expectativa 6 461 37.97 116.59 17.94 11.06 -101.73 NEGKW
objetivo 56 2118 354.43 535.66 83.53 10.64 -40.72 NEGKW
usar 10 609 63.29 154.02 23.78 10.56 -83.5 NEGKW
material 24 1100 151.9 278.2 43.19 10.51 -58.73 NEGKW
organizar 41 1647 259.49 416.54 64.86 10.46 -46.46 NEGKW
desenvolver 74 2651 468.35 670.46 104.71 10.4 -35.49 NEGKW
tema 24 1092 151.9 276.18 42.88 10.23 -58.06 NEGKW
população 9 561 56.96 141.88 21.9 10.1 -85.41 NEGKW
diversificar 16 813 101.27 205.61 31.85 9.99 -68.01 NEGKW
autor 8 520 50.63 131.51 20.29 9.98 -88.81 NEGKW
pequeno 15 777 94.94 196.51 30.43 9.95 -69.7 NEGKW
didático 15 777 94.94 196.51 30.43 9.95 -69.7 NEGKW
proposição 8 519 50.63 131.26 20.25 9.93 -88.65 NEGKW
implementação 9 554 56.96 140.11 21.63 9.77 -84.38 NEGKW
seguir 22 1007 139.24 254.68 39.54 9.59 -58.61 NEGKW
origem 7 470 44.3 118.87 18.33 9.46 -91.39 NEGKW
presença 5 385 31.65 97.37 14.99 9.26 -101.89 NEGKW
abrir 8 501 50.63 126.71 19.56 9.08 -85.79 NEGKW
contemplar 28 1188 177.22 300.46 46.72 9.07 -51.6 NEGKW
produzir 36 1440 227.85 364.19 56.71 9.0 -46.06 NEGKW
família 12 646 75.95 163.38 25.28 8.96 -73.06 NEGKW
incorporar 7 457 44.3 115.58 17.83 8.83 -89.16 NEGKW
educar 12 643 75.95 162.62 25.17 8.83 -72.66 NEGKW
organização 50 1860 316.46 470.41 73.39 8.7 -39.13 NEGKW
região 8 489 50.63 123.67 19.1 8.53 -83.81 NEGKW
perpassar 7 448 44.3 113.3 17.48 8.4 -87.56 NEGKW
estado 37 1448 234.18 366.21 57.06 8.34 -43.98 NEGKW
futuro 11 595 69.62 150.48 23.29 8.33 -73.48 NEGKW
definir 35 1385 221.52 350.28 54.56 8.32 -45.04 NEGKW
afirmar 12 629 75.95 159.08 24.63 8.26 -70.74 NEGKW
oportunidade 21 933 132.91 235.96 36.66 8.18 -55.87 NEGKW
progressão 6 404 37.97 102.18 15.75 8.16 -91.62 NEGKW
