lemma target_count comparison_count target_per_1k comparison_per_1k expected LL %DIFF status
tutoria 8 12 54.79 3.03 0.71 27.36 179.07 POSKW
educandos 33 320 226.03 80.69 12.53 24.22 94.77 POSKW
educar 49 606 335.62 152.8 23.26 22.61 74.86 POSKW
território 63 886 431.51 223.4 33.7 21.19 63.55 POSKW
oportuno 11 53 75.34 13.36 2.27 18.54 139.74 POSKW
pós-médio 5 7 34.25 1.77 0.43 17.59 180.4 POSKW
catarse 5 7 34.25 1.77 0.43 17.59 180.4 POSKW
médio 52 732 356.16 184.57 27.84 17.44 63.47 POSKW
corresponsabilidade 8 28 54.79 7.06 1.28 17.29 154.34 POSKW
baixar 5 8 34.25 2.02 0.46 16.64 177.75 POSKW
transdisciplinaridade 11 61 75.34 15.38 2.56 16.29 132.19 POSKW
integrador 27 303 184.93 76.4 11.72 15.26 83.06 POSKW
qualitativo 21 205 143.84 51.69 8.02 15.24 94.26 POSKW
atual 48 702 328.77 177.0 26.63 14.46 60.01 POSKW
avanço 37 497 253.42 125.32 18.96 14.03 67.65 POSKW
ensino-aprendizagem 35 461 239.73 116.24 17.61 13.94 69.38 POSKW
nordeste 7 29 47.95 7.31 1.28 13.36 147.07 POSKW
triangular 6 21 41.1 5.3 0.96 12.97 154.34 POSKW
graduação 9 52 61.64 13.11 2.17 12.8 129.84 POSKW
agregar 15 137 102.74 34.54 5.4 12.1 99.35 POSKW
preciso 54 868 369.86 218.86 32.74 12.04 51.3 POSKW
exigir 49 771 335.62 194.4 29.11 11.75 53.29 POSKW
biologia 8 45 54.79 11.35 1.88 11.68 131.38 POSKW
afinidade 7 35 47.95 8.83 1.49 11.42 137.82 POSKW
holístico 9 59 61.64 14.88 2.41 11.2 122.24 POSKW
zona 12 102 82.19 25.72 4.05 10.77 104.67 POSKW
avaliação 57 965 390.41 243.32 36.29 10.49 46.42 POSKW
motivador 8 50 54.79 12.61 2.06 10.49 125.18 POSKW
implicar 40 615 273.97 155.07 23.26 10.34 55.43 POSKW
sócio-histórico 11 91 75.34 22.95 3.62 10.25 106.62 POSKW
amplo 49 805 335.62 202.98 30.32 10.11 49.25 POSKW
elevação 7 40 47.95 10.09 1.67 10.06 130.48 POSKW
inerente 25 328 171.23 82.7 12.53 10.05 69.73 POSKW
orientar 69 1237 472.6 311.9 46.37 10.0 40.97 POSKW
qualidade 61 1065 417.81 268.53 39.98 9.91 43.5 POSKW
prosseguimento 12 110 82.19 27.74 4.33 9.63 99.08 POSKW
localidade 12 111 82.19 27.99 4.37 9.5 98.39 POSKW
diagnosticar 8 55 54.79 13.87 2.24 9.43 119.21 POSKW
indispensável 24 318 164.38 80.18 12.14 9.42 68.86 POSKW
reflexivo 36 552 246.58 139.18 20.88 9.39 55.68 POSKW
negar 11 97 75.34 24.46 3.83 9.36 101.97 POSKW
divulgar 13 131 89.04 33.03 5.11 8.95 91.77 POSKW
planejamento 57 1004 390.41 253.15 37.67 8.92 42.66 POSKW
implantação 15 164 102.74 41.35 6.36 8.91 85.21 POSKW
estesia 7 45 47.95 11.35 1.85 8.9 123.45 POSKW
precisar 73 1359 500.0 342.66 50.84 8.85 37.34 POSKW
resultado 46 771 315.07 194.4 29.01 8.8 47.37 POSKW
comprovar 6 34 41.1 8.57 1.42 8.7 130.96 POSKW
fiscal 7 46 47.95 11.6 1.88 8.69 122.08 POSKW
estadual 33 506 226.03 127.58 19.14 8.61 55.68 POSKW
série 28 407 191.78 102.62 15.45 8.58 60.57 POSKW
geografia 11 103 75.34 25.97 4.05 8.54 97.46 POSKW
dotar 11 103 75.34 25.97 4.05 8.54 97.46 POSKW
centro 24 331 164.38 83.46 12.6 8.5 65.3 POSKW
curso 30 449 205.48 113.21 17.01 8.44 57.9 POSKW
sistemático 21 279 143.84 70.35 10.65 8.19 68.62 POSKW
repertório 33 515 226.03 129.85 19.46 8.13 54.05 POSKW
enfoque 14 155 95.89 39.08 6.0 8.12 84.18 POSKW
população 34 536 232.88 135.15 20.24 8.1 53.11 POSKW
primar 7 49 47.95 12.36 1.99 8.08 118.04 POSKW
indissociável 18 227 123.29 57.24 8.7 7.95 73.18 POSKW
aproveitamento 11 108 75.34 27.23 4.23 7.91 93.81 POSKW
gradual 7 50 47.95 12.61 2.02 7.89 116.72 POSKW
previsto 7 51 47.95 12.86 2.06 7.7 115.41 POSKW
faixa 24 344 164.38 86.74 13.07 7.66 61.84 POSKW
seguir 54 975 369.86 245.84 36.54 7.58 40.29 POSKW
reiterar 12 127 82.19 32.02 4.94 7.57 87.85 POSKW
definido 15 178 102.74 44.88 6.85 7.57 78.39 POSKW
município 26 385 178.08 97.08 14.59 7.55 58.88 POSKW
visão 54 976 369.86 246.09 36.57 7.54 40.19 POSKW
experiente 6 39 41.1 9.83 1.6 7.54 122.77 POSKW
retornar 7 53 47.95 13.36 2.13 7.34 112.81 POSKW
autoavaliação 10 97 68.49 24.46 3.8 7.33 94.75 POSKW
certificar 5 28 34.25 7.06 1.17 7.33 131.63 POSKW
parcial 9 82 61.64 20.68 3.23 7.29 99.53 POSKW
efetivação 19 254 130.14 64.04 9.69 7.29 68.07 POSKW
físico 59 1095 404.11 276.1 40.97 7.26 37.64 POSKW
condução 8 68 54.79 17.15 2.7 7.18 104.67 POSKW
certificação 8 68 54.79 17.15 2.7 7.18 104.67 POSKW
justificativa 6 41 41.1 10.34 1.67 7.12 119.6 POSKW
esforço 20 276 136.99 69.59 10.51 7.08 65.25 POSKW
objetivar 27 414 184.93 104.39 15.66 7.04 55.68 POSKW
culminar 8 69 54.79 17.4 2.73 7.03 103.6 POSKW
real 38 643 260.27 162.13 24.18 7.01 46.47 POSKW
