lemma target_count comparison_count target_per_1k comparison_per_1k expected LL %DIFF status
pará 84 9 480.0 2.29 3.96 472.0 198.1 POSKW
amazônico 58 36 331.43 9.14 4.0 244.21 189.26 POSKW
amazônia 46 21 262.86 5.33 2.85 208.94 192.04 POSKW
nucleação 24 1 137.14 0.25 1.06 143.22 199.26 POSKW
itinerâncias 23 3 131.43 0.76 1.11 126.88 197.69 POSKW
categoria 65 341 371.43 86.61 17.28 82.91 124.36 POSKW
espaço/tempo 18 8 102.86 2.03 1.11 82.25 192.25 POSKW
probncc 27 43 154.29 10.92 2.98 80.86 173.56 POSKW
freire 40 128 228.57 32.51 7.15 79.26 150.19 POSKW
correlação 30 72 171.43 18.29 4.34 72.09 161.44 POSKW
valores 14 4 80.0 1.02 0.77 69.67 194.98 POSKW
aluno 120 1107 685.71 281.18 52.22 68.12 83.68 POSKW
norteador 60 367 342.86 93.22 18.17 64.11 114.49 POSKW
inter-relação 37 154 211.43 39.12 8.13 59.22 137.55 POSKW
ldb/96 14 10 80.0 2.54 1.02 56.66 187.69 POSKW
teórico-metodológico 31 111 177.14 28.19 6.04 56.35 145.08 POSKW
ensino-aprendizagem 60 436 342.86 110.74 21.11 50.85 102.34 POSKW
homem 57 410 325.71 104.14 19.87 49.03 103.09 POSKW
hegemônico 22 60 125.71 15.24 3.49 48.75 156.75 POSKW
seção 25 83 142.86 21.08 4.6 48.19 148.56 POSKW
gnosiológico 9 2 51.43 0.51 0.47 46.57 196.09 POSKW
ribeirinho 26 97 148.57 24.64 5.23 45.71 143.1 POSKW
floresta 22 67 125.71 17.02 3.79 45.19 152.31 POSKW
gramsci 9 4 51.43 1.02 0.55 41.12 192.25 POSKW
contextualizado 28 134 160.0 34.04 6.89 39.28 129.84 POSKW
n.p. 10 8 57.14 2.03 0.77 39.1 186.26 POSKW
econômico 91 961 520.0 244.09 44.77 38.79 72.22 POSKW
citadino 7 1 40.0 0.25 0.34 38.25 197.48 POSKW
totalidade 32 181 182.86 45.97 9.06 37.54 119.64 POSKW
interdisciplinaridade 44 320 251.43 81.28 15.49 37.25 102.28 POSKW
dialógico 40 274 228.57 69.6 13.36 36.87 106.63 POSKW
freireana 8 4 45.71 1.02 0.51 35.58 191.3 POSKW
sujeito 128 1590 731.43 403.86 73.12 35.44 57.71 POSKW
política 80 848 457.14 215.39 39.49 33.8 71.89 POSKW
mulher 28 156 160.0 39.62 7.83 33.42 120.6 POSKW
basilar 17 55 97.14 13.97 3.06 33.41 149.71 POSKW
grifo 16 48 91.43 12.19 2.72 33.22 152.94 POSKW
acima 35 236 200.0 59.94 11.53 32.96 107.76 POSKW
sustentabilidade 45 361 257.14 91.69 17.28 32.73 94.86 POSKW
amazônias 6 1 34.29 0.25 0.3 32.23 197.06 POSKW
marajó 6 1 34.29 0.25 0.3 32.23 197.06 POSKW
dialeticamente 10 14 57.14 3.56 1.02 31.75 176.57 POSKW
discorrer 17 59 97.14 14.99 3.23 31.67 146.54 POSKW
dialético 21 95 120.0 24.13 4.94 31.13 133.03 POSKW
inúmero 35 251 200.0 63.75 12.17 30.24 103.31 POSKW
ator 34 245 194.29 62.23 11.87 29.17 102.96 POSKW
sócio-histórico 19 83 108.57 21.08 4.34 29.1 134.96 POSKW
identidade 105 1321 600.0 335.53 60.69 27.95 56.54 POSKW
libertador 12 31 68.57 7.87 1.83 27.54 158.8 POSKW
partícipe 16 62 91.43 15.75 3.32 27.25 141.23 POSKW
debate 56 558 320.0 141.73 26.13 27.18 77.22 POSKW
capitalista 15 55 85.71 13.97 2.98 26.75 143.94 POSKW
interculturalidade 21 111 120.0 28.19 5.62 26.57 123.9 POSKW
concepção 94 1163 537.14 295.4 53.5 26.34 58.07 POSKW
transformador 29 201 165.71 51.05 9.79 26.3 105.79 POSKW
campos 24 144 137.14 36.58 7.15 26.26 115.78 POSKW
interdisciplinar 58 602 331.43 152.91 28.09 25.73 73.72 POSKW
intimidade 7 7 40.0 1.78 0.6 25.4 182.98 POSKW
político 106 1379 605.71 350.27 63.2 25.34 53.44 POSKW
