###	VERB.Fin.Sing	<unknown>
Campos	PROPN.Masc.Sing	Campos
de	ADP	de
atuação	NOUN.Fem.Sing	atuação
—	PUNCT.Hyphen	-
8º	ADJ.Masc.Sing	8º
e	CCONJ	e
9º	ADJ.Masc.Sing	9º
ano	NOUN.Masc.Sing	ano
|	SYM	|
Campo	PROPN.Masc.Sing	Campo
de	ADP	de
atuação	NOUN.Fem.Sing	atuação
|	SYM	|
Oralidade	NOUN.Fem.Sing	oralidade
|	SYM	|
Leitura	NOUN.Fem.Sing	leitura
|	SYM	|
Produção	NOUN.Fem.Sing	produção
de	ADP	de
texto	NOUN.Masc.Sing	texto
—	PUNCT.Hyphen	-
oral	ADJ.Masc.Sing	oral
|	SYM	|
Produção	NOUN.Fem.Sing	produção
de	ADP	de
texto	NOUN.Masc.Sing	texto
—	PUNCT.Hyphen	-
escrito	VERB.Part.Masc.Sing	escrever
|	SYM	|
|---|---|---|---|---|	VERB.Fin.Sing	<unknown>
|	SYM	|
Jornalístico/Midiático	PROPN.Masc.Sing	<unknown>
|	SYM	|
Discussões	NOUN.Fem.Plur	discussão
orais	ADJ.Fem.Plur	oral
,	PUNCT.Comma	,
notícia	NOUN.Fem.Sing	notícia
,	PUNCT.Comma	,
reportagem	NOUN.Fem.Sing	reportagem
,	PUNCT.Comma	,
entrevistas	NOUN.Fem.Plur	entrevista
,	PUNCT.Comma	,
reportagem	NOUN.Fem.Sing	reportagem
multimidiática	ADJ.Fem.Sing	multimidiático
,	PUNCT.Comma	,
fotorreportagem	VERB.Fin.Plur	<unknown>
,	PUNCT.Comma	,
foto-denúncia	NOUN.Fem.Sing	foto-denúncia
,	PUNCT.Comma	,
artigo	NOUN.Masc.Sing	artigo
de	ADP	de
opinião	NOUN.Fem.Sing	opinião
,	PUNCT.Comma	,
editorial	ADJ.Masc.Sing	editorial
,	PUNCT.Comma	,
resenha	NOUN.Fem.Sing	resenha
crítica	ADJ.Fem.Sing	crítico
,	PUNCT.Comma	,
crônica	ADJ.Fem.Sing	crônico
,	PUNCT.Comma	,
comentário	NOUN.Masc.Sing	comentário
,	PUNCT.Comma	,
debate	NOUN.Masc.Sing	debate
,	PUNCT.Comma	,
vlog	NOUN.Masc.Sing	<unknown>
noticioso	ADJ.Masc.Sing	noticioso
,	PUNCT.Comma	,
vlog	NOUN.Masc.Sing	<unknown>
cultural	ADJ.Masc.Sing	cultural
,	PUNCT.Comma	,
meme	ADJ.Masc.Sing	<unknown>
,	PUNCT.Comma	,
charge	NOUN.Fem.Sing	charge
,	PUNCT.Comma	,
charge	NOUN.Fem.Sing	charge
digital	ADJ.Fem.Sing	digital
,	PUNCT.Comma	,
political	ADJ.Fem.Sing	<unknown>
remix	NOUN.Fem.Sing	remix
,	PUNCT.Comma	,
anúncio	NOUN.Masc.Sing	anúncio
publicitário	ADJ.Masc.Sing	publicitário
,	PUNCT.Comma	,
propaganda	NOUN.Fem.Sing	propaganda
,	PUNCT.Comma	,
jingle	NOUN.Masc.Sing	jingle
,	PUNCT.Comma	,
spot	NOUN.Masc.Sing	spot
.	PUNCT.Sent	.
|	SYM	|
Notícia	NOUN.Fem.Sing	notícia
,	PUNCT.Comma	,
reportagem	NOUN.Fem.Sing	reportagem
,	PUNCT.Comma	,
entrevistas	NOUN.Fem.Plur	entrevista
,	PUNCT.Comma	,
reportagem	NOUN.Fem.Sing	reportagem
multimidiática	ADJ.Fem.Sing	multimidiático
,	PUNCT.Comma	,
fotorreportagem	VERB.Fin.Plur	<unknown>
,	PUNCT.Comma	,
foto-denúncia	NOUN.Fem.Sing	foto-denúncia
,	PUNCT.Comma	,
artigo	NOUN.Masc.Sing	artigo
de	ADP	de
opinião	NOUN.Fem.Sing	opinião
,	PUNCT.Comma	,
editorial	ADJ.Masc.Sing	editorial
,	PUNCT.Comma	,
resenha	NOUN.Fem.Sing	resenha
crítica	ADJ.Fem.Sing	crítico
,	PUNCT.Comma	,
carta	NOUN.Fem.Sing	carta
de	ADP	de
leitor	NOUN.Masc.Sing	leitor
,	PUNCT.Comma	,
post	NOUN.Masc.Sing	<unknown>
de	ADP	de
blogs	NOUN.Masc.Plur	<unknown>
e	CCONJ	e
redes	NOUN.Fem.Plur	rede
sociais	ADJ.Fem.Plur	social
,	PUNCT.Comma	,
vlog	NOUN.Masc.Sing	<unknown>
noticioso	ADJ.Masc.Sing	noticioso
,	PUNCT.Comma	,
vlog	NOUN.Masc.Sing	<unknown>
cultural	ADJ.Masc.Sing	cultural
,	PUNCT.Comma	,
meme	ADJ.Masc.Sing	<unknown>
,	PUNCT.Comma	,
gifs	NOUN.Masc.Plur	<unknown>
,	PUNCT.Comma	,
charge	NOUN.Fem.Sing	charge
,	PUNCT.Comma	,
charge	NOUN.Fem.Sing	charge
digital	ADJ.Fem.Sing	digital
,	PUNCT.Comma	,
political	ADJ.Fem.Sing	<unknown>
remix	NOUN.Fem.Sing	remix
,	PUNCT.Comma	,
anúncio	NOUN.Masc.Sing	anúncio
publicitário	ADJ.Masc.Sing	publicitário
,	PUNCT.Comma	,
propaganda	NOUN.Fem.Sing	propaganda
,	PUNCT.Comma	,
cartaz	NOUN.Masc.Sing	cartaz
,	PUNCT.Comma	,
outdoor	NOUN.Masc.Sing	outdoor
,	PUNCT.Comma	,
jingle	NOUN.Masc.Sing	jingle
,	PUNCT.Comma	,
spot	NOUN.Masc.Sing	spot
.	PUNCT.Sent	.
|	SYM	|
Notícia	NOUN.Fem.Sing	notícia
,	PUNCT.Comma	,
reportagem	NOUN.Fem.Sing	reportagem
,	PUNCT.Comma	,
reportagem	NOUN.Fem.Sing	reportagem
multimidiática	ADJ.Fem.Sing	multimidiático
,	PUNCT.Comma	,
entrevistas	NOUN.Fem.Plur	entrevista
,	PUNCT.Comma	,
podcast	NOUN.Masc.Sing	<unknown>
noticioso	ADJ.Masc.Sing	noticioso
e	CCONJ	e
cultural	ADJ.Masc.Sing	cultural
,	PUNCT.Comma	,
fotorreportagem	VERB.Fin.Plur	<unknown>
,	PUNCT.Comma	,
foto-denúncia	NOUN.Fem.Sing	foto-denúncia
,	PUNCT.Comma	,
artigo	NOUN.Masc.Sing	artigo
de	ADP	de
opinião	NOUN.Fem.Sing	opinião
,	PUNCT.Comma	,
editorial	ADJ.Masc.Sing	editorial
,	PUNCT.Comma	,
resenha	NOUN.Fem.Sing	resenha
crítica	ADJ.Fem.Sing	crítico
,	PUNCT.Comma	,
crônica	ADJ.Fem.Sing	crônico
,	PUNCT.Comma	,
comentário	NOUN.Masc.Sing	comentário
,	PUNCT.Comma	,
debate	NOUN.Masc.Sing	debate
,	PUNCT.Comma	,
vlog	NOUN.Masc.Sing	<unknown>
noticioso	ADJ.Masc.Sing	noticioso
,	PUNCT.Comma	,
vlog	NOUN.Masc.Sing	<unknown>
cultural	ADJ.Masc.Sing	cultural
,	PUNCT.Comma	,
podcast	NOUN.Masc.Sing	<unknown>
noticioso	ADJ.Masc.Sing	noticioso
,	PUNCT.Comma	,
meme	ADJ.Masc.Sing	<unknown>
,	PUNCT.Comma	,
charge	NOUN.Fem.Sing	charge
,	PUNCT.Comma	,
charge	NOUN.Fem.Sing	charge
digital	ADJ.Fem.Sing	digital
,	PUNCT.Comma	,
political	ADJ.Fem.Sing	<unknown>
remix	NOUN.Fem.Sing	remix
,	PUNCT.Comma	,
anúncio	NOUN.Masc.Sing	anúncio
publicitário	ADJ.Masc.Sing	publicitário
,	PUNCT.Comma	,
propaganda	NOUN.Fem.Sing	propaganda
,	PUNCT.Comma	,
jingle	NOUN.Masc.Sing	jingle
,	PUNCT.Comma	,
spot	NOUN.Masc.Sing	spot
.	PUNCT.Sent	.
|	SYM	|
Notícia	NOUN.Fem.Sing	notícia
,	PUNCT.Comma	,
reportagem	NOUN.Fem.Sing	reportagem
,	PUNCT.Comma	,
entrevistas	NOUN.Fem.Plur	entrevista
,	PUNCT.Comma	,
reportagem	NOUN.Fem.Sing	reportagem
multimidiática	ADJ.Fem.Sing	multimidiático
,	PUNCT.Comma	,
fotorreportagem	VERB.Fin.Plur	<unknown>
,	PUNCT.Comma	,
foto-denúncia	NOUN.Fem.Sing	foto-denúncia
,	PUNCT.Comma	,
artigo	NOUN.Masc.Sing	artigo
de	ADP	de
opinião	NOUN.Fem.Sing	opinião
,	PUNCT.Comma	,
editorial	ADJ.Masc.Sing	editorial
,	PUNCT.Comma	,
resenha	NOUN.Fem.Sing	resenha
crítica	ADJ.Fem.Sing	crítico
,	PUNCT.Comma	,
crônica	ADJ.Fem.Sing	crônico
,	PUNCT.Comma	,
comentário	NOUN.Masc.Sing	comentário
,	PUNCT.Comma	,
debate	NOUN.Masc.Sing	debate
,	PUNCT.Comma	,
